0,1d2a,20180116,1659
104,9753,東証JQS,アイエックス・ナレッジ(株),15:00,822,4.85%,38,964000
105,1380,東証JQS,(株)秋川牧園,14:55,697,4.81%,32,13700
106,6954,東証1部,ファナック(株),15:00,33450,4.79%,1530,1252500
107,6506,東証1部,(株)安川電機,15:00,5930,4.77%,270,4724000
108,2337,東証1部,いちご(株),15:00,440,4.76%,20,4809200
109,6074,東証JQS,(株)ジェイエスエス,15:00,1237,4.74%,56,22100
110,6848,東証1部,東亜ディーケーケー(株),15:00,1131,4.72%,51,45300
111,1783,東証JQS,(株)アジアゲートホールディングス,15:00,89,4.71%,4,1853400
112,4772,東証JQG,(株)デジタルアドベンチャー,15:00,534,4.71%,24,178800
113,1642,東証ETF,ダイワ 上場投信･TOPIX-17電機･精密,15:00,21920,4.63%,970,1
114,6819,東証JQS,伊豆シャボテンリゾート(株),15:00,136,4.62%,6,885900
115,4819,東証1部,(株)デジタルガレージ,15:00,3290,4.61%,145,333500
116,8705,東証JQS,岡藤ホールディングス(株),15:00,232,4.50%,10,12404600
117,6092,マザーズ,(株)エンバイオ・ホールディングス,15:00,2360,4.42%,100,1296800
118,3788,東証1部,ＧＭＯクラウド(株),15:00,2434,4.37%,102,137400
119,6467,東証JQS,(株)ニチダイ,15:00,764,4.37%,32,118600
120,3116,東証1部,トヨタ紡織(株),15:00,2501,4.34%,104,1331300
121,3034,東証1部,クオール(株),15:00,2120,4.33%,88,212200
122,6677,東証JQS,(株)エスケーエレクトロニクス,15:00,2119,4.28%,87,92800
123,3647,東証2部,(株)ジー・スリーホールディングス,15:00,148,4.23%,6,2091800
124,9627,東証1部,(株)アインホールディングス,15:00,6700,4.20%,270,327200
125,5753,東証2部,日本伸銅(株),15:00,2623,4.13%,104,28300
126,2433,東証1部,(株)博報堂ＤＹホールディングス,15:00,1630,4.09%,64,1296500
127,6861,東証1部,(株)キーエンス,15:00,69740,4.06%,2720,469500
128,2915,東証1部,ケンコーマヨネーズ(株),15:00,4125,4.04%,160,116100
129,6981,東証1部,(株)村田製作所,15:00,15990,4.03%,620,2218500
130,6630,東証1部,ヤーマン(株),15:00,1976,4.00%,76,1428600
131,3712,東証2部,(株)情報企画,15:00,2680,3.96%,102,13800
132,8226,東証2部,(株)理経,15:00,236,3.96%,9,1411900
133,9324,東証1部,安田倉庫(株),15:00,1079,3.95%,41,95800
134,6551,マザーズ,(株)ツナグ・ソリューションズ,15:00,1609,3.94%,61,71500
135,3993,マザーズ,(株)ＰＫＳＨＡ　Ｔｅｃｈｎｏｌｏｇｙ,15:00,16400,3.93%,620,717500
136,7446,東証JQS,東北化学薬品(株),12:43,715,3.92%,27,3000
137,3437,東証JQS,特殊電極(株),14:58,4785,3.91%,180,6000
138,3854,東証JQG,(株)アイル,15:00,1627,3.90%,61,37400
139,2162,東証JQS,ｎｍｓホールディングス(株),15:00,2064,3.88%,77,128800
140,9908,東証JQS,Ｄｅｎｋｅｉ,15:00,2500,3.86%,93,698800
141,3053,東証1部,(株)ペッパーフードサービス,15:00,5120,3.85%,190,478300
142,6652,東証1部,ＩＤＥＣ(株),15:00,3075,3.85%,114,918300
143,4662,東証1部,(株)フォーカスシステムズ,15:00,982,3.81%,36,171100
144,4833,東証JQG,(株)ぱど,15:00,687,3.78%,25,55800
145,3921,マザーズ,(株)ネオジャパン,15:00,1708,3.77%,62,197200
146,9783,東証1部,(株)ベネッセホールディングス,15:00,4265,3.77%,155,432200
147,4920,東証JQS,(株)日本色材工業研究所,14:51,6070,3.76%,220,5200
148,7192,東証2部,日本モーゲージサービス(株),15:00,2660,3.74%,96,29900
149,7595,東証1部,(株)アルゴグラフィックス,15:00,3475,3.73%,125,16200
150,3641,東証JQS,(株)パピレス,15:00,2063,3.72%,74,102200
151,4022,東証1部,ラサ工業(株),15:00,2609,3.70%,93,157400
152,1413,東証2部,(株)桧家ホールディングス,15:00,2730,3.68%,97,57000
153,9740,東証1部,ＣＳＰ,15:00,2760,3.68%,98,47100
154,3001,東証1部,片倉工業(株),15:00,1671,3.66%,59,63200
155,2410,東証1部,(株)キャリアデザインセンター,15:00,2358,3.65%,83,65600
156,3990,マザーズ,ＵＵＵＭ(株),15:00,5390,3.65%,190,64200
157,4998,東証2部,フマキラー(株),15:00,2388,3.65%,84,71200
158,3777,東証JQG,(株)ジオネクスト,15:00,57,3.64%,2,4108800
159,3938,東証1部,ＬＩＮＥ(株),15:00,5130,3.64%,180,563200
160,6640,東証1部,第一精工(株),15:00,3150,3.62%,110,71200
161,6926,東証1部,岡谷電機産業(株),15:00,717,3.61%,25,770300
162,6273,東証1部,ＳＭＣ(株),15:00,53270,3.54%,1820,240500
163,2150,マザーズ,(株)ケアネット,15:00,1349,3.53%,46,168700
164,2317,東証1部,(株)システナ,15:00,3665,3.53%,125,131400
165,3815,マザーズ,(株)メディア工房,15:00,528,3.53%,18,103600
166,6332,東証1部,月島機械(株),15:00,1465,3.53%,50,137300
167,3865,東証1部,北越紀州製紙(株),15:00,707,3.51%,24,1968600
168,6481,東証1部,ＴＨＫ(株),15:00,4570,3.51%,155,1026400
169,6538,東証1部,(株)キャリアインデックス,15:00,1822,3.46%,61,229400
170,6083,東証1部,ＥＲＩホールディングス(株),15:00,1022,3.44%,34,42300
171,3293,東証JQS,アズマハウス(株),15:00,2079,3.43%,69,22100
172,4078,東証1部,堺化学工業(株),15:00,3170,3.43%,105,42200
173,6958,東証1部,日本ＣＭＫ(株),15:00,1062,3.41%,35,641100
174,2706,東証JQS,(株)ブロッコリー,15:00,487,3.40%,16,903000
175,7315,東証2部,ＩＪＴテクノロジーホールディングス(株),15:00,1064,3.40%,35,80500
176,8036,東証1部,(株)日立ハイテクノロジーズ,15:00,5020,3.40%,165,627700
177,7713,東証JQS,シグマ光機(株),15:00,2452,3.37%,80,138200
178,3071,マザーズ,(株)ストリーム,15:00,123,3.36%,4,695600
179,7705,東証2部,ジーエルサイエンス(株),15:00,2340,3.36%,76,20500
180,3385,東証1部,(株)薬王堂,15:00,3045,3.33%,98,328800
181,7995,東証1部,日本バルカー工業(株),15:00,3410,3.33%,110,148000
182,7779,マザーズ,ＣＹＢＥＲＤＹＮＥ(株),15:00,1933,3.31%,62,1819100
183,2587,東証1部,サントリー食品インターナショナル(株),15:00,5010,3.30%,160,643300
184,2719,東証2部,(株)キタムラ,15:00,820,3.27%,26,27500
185,6563,マザーズ,(株)みらいワークス,15:00,10460,3.26%,330,73200
186,6615,東証1部,ユー・エム・シー・エレクトロニクス(株),15:00,3175,3.25%,100,78700
187,6639,東証2部,(株)コンテック,15:00,2767,3.25%,87,44900
188,7296,東証1部,(株)エフ・シー・シー,15:00,3020,3.25%,95,178900
189,7711,東証JQS,助川電気工業(株),15:00,1049,3.25%,33,109700
190,3658,東証1部,(株)イーブックイニシアティブジャパン,15:00,1305,3.24%,41,34000
191,4970,東証JQS,東洋合成工業(株),15:00,1883,3.23%,59,126800
192,6131,東証2部,浜井産業(株),15:00,192,3.23%,6,3304000
193,6222,東証1部,(株)島精機製作所,15:00,7990,3.23%,250,193100
194,7172,マザーズ,(株)ジャパンインベストメントアドバイザー,15:00,3370,3.22%,105,174600
195,4304,東証JQS,(株)Ｅストアー,15:00,1096,3.20%,34,119200
196,7607,東証1部,(株)進和,15:00,2613,3.20%,81,31900
197,4659,東証JQS,(株)エイジス,14:48,3070,3.19%,95,17800
198,6645,東証1部,オムロン(株),15:00,7480,3.17%,230,833200
199,4611,東証1部,大日本塗料(株),15:00,1862,3.16%,57,128200
200,7577,東証JQS,(株)パスポート,15:00,686,3.16%,21,71900
201,9687,東証JQS,(株)ＫＳＫ,15:00,1993,3.16%,61,54800
202,2124,東証1部,ＪＡＣ　Ｒｅｃｒｕｉｔｍｅｎｔ,15:00,2261,3.15%,69,467700
203,3926,東証1部,(株)オープンドア,15:00,7230,3.14%,220,41500
204,7185,東証JQS,ヒロセ通商(株),15:00,1839,3.14%,56,242000
205,1726,東証1部,(株)ビーアールホールディングス,15:00,527,3.13%,16,120300
206,2292,東証1部,Ｓ　ＦＯＯＤＳ(株),15:00,4950,3.13%,150,131600
207,2435,東証JQS,(株)シダー,15:00,396,3.13%,12,133900
208,2877,東証JQS,日東ベスト(株),14:56,990,3.13%,30,10700
209,6555,マザーズ,(株)ＭＳ＆Ｃｏｎｓｕｌｔｉｎｇ,15:00,1285,3.13%,39,237200
210,3436,東証1部,(株)ＳＵＭＣＯ,15:00,3040,3.12%,92,6466100
211,1384,東証1部,(株)ホクリヨウ,15:00,1589,3.11%,48,129600
212,3347,東証2部,(株)トラスト,15:00,299,3.10%,9,48100
213,4092,東証1部,日本化学工業(株),15:00,2681,3.08%,80,140600
214,4911,東証1部,(株)資生堂,15:00,5752,3.08%,172,2169900
215,7268,東証JQS,(株)タツミ,15:00,435,3.08%,13,17000
216,9757,東証1部,(株)船井総研ホールディングス,15:00,2578,3.08%,77,140700
217,3195,マザーズ,(株)ジェネレーションパス,15:00,607,3.06%,18,92800
218,6125,東証2部,(株)岡本工作機械製作所,15:00,4720,3.06%,140,71200
219,7448,東証1部,(株)ジーンズメイト,15:00,1043,3.06%,31,195900
220,4768,東証1部,(株)大塚商会,15:00,9130,3.05%,270,214000
221,6815,東証1部,ユニデンホールディングス(株),15:00,339,3.04%,10,1863000
222,4764,東証JQG,ＳＡＭＵＲＡＩ＆Ｊ　ＰＡＲＴＮＥＲＳ(株),15:00,4095,3.02%,120,49300
223,4760,東証JQS,(株)アルファ,14:43,308,3.01%,9,58000
224,6919,東証JQS,ケル(株),15:00,1506,3.01%,44,59900
225,4217,東証1部,日立化成(株),15:00,3055,3.00%,89,1320400
226,6173,マザーズ,(株)アクアライン,14:59,3090,3.00%,90,9400
227,2180,東証JQG,(株)サニーサイドアップ,15:00,895,2.99%,26,21600
228,3358,東証JQS,ワイエスフード(株),14:59,278,2.96%,8,19300
229,6531,マザーズ,リファインバース(株),15:00,3135,2.96%,90,52500
230,6669,東証JQS,シーシーエス(株),15:00,3830,2.96%,110,44100
231,7701,東証1部,(株)島津製作所,15:00,2850,2.96%,82,972100
232,6454,東証1部,マックス(株),15:00,1641,2.95%,47,57500
233,2593,東証1部,(株)伊藤園,15:00,4390,2.93%,125,255200
234,6730,東証1部,(株)アクセル,15:00,880,2.92%,25,45200
235,4290,東証1部,(株)プレステージ・インターナショナル,15:00,1449,2.91%,41,444400
236,6145,東証JQS,日特エンジニアリング(株),15:00,5370,2.87%,150,168000
237,3655,東証1部,(株)ブレインパッド,15:00,1437,2.86%,40,364900
238,7230,東証1部,日信工業(株),15:00,2269,2.86%,63,343400
239,9171,東証2部,栗林商船(株),14:59,685,2.85%,19,17000
240,7902,東証JQS,(株)ソノコム,15:00,1338,2.84%,37,25900
241,7264,東証JQS,(株)ムロコーポレーション,15:00,2038,2.83%,56,11500
242,9983,東証1部,(株)ファーストリテイリング,15:00,50940,2.83%,1400,831600
243,4754,東証JQS,(株)トスネット,14:49,1166,2.82%,32,10700
