code,date,open,high,low,close,volume
0010,18/10/29,1605.16,1612.81,1605.16,1607.21,375880200
0010,18/10/26,1680.61,1700.26,1581.56,1596.01,7298100000
0010,18/10/19,1690.73,1718.88,1672.02,1692.85,6461200000
0010,18/10/12,1777.96,1779.33,1687.18,1702.45,6554800000
0010,18/10/05,1814.05,1838.30,1788.64,1792.65,7227600000
0010,18/09/28,1805.71,1828.23,1799.50,1817.25,6272600000
0010,18/09/21,1725.88,1807.67,1725.64,1804.02,6935500000
0010,18/09/14,1680.36,1730.27,1679.88,1728.61,6998100000
0010,18/09/07,1730.77,1731.86,1673.92,1684.31,5969800000
0010,18/08/31,1716.80,1749.72,1715.24,1735.35,6070900000
0010,18/08/24,1692.74,1709.36,1679.95,1709.20,5237700000
0010,18/08/17,1706.72,1714.92,1667.95,1697.53,6637700000
0010,18/08/10,1742.97,1756.31,1718.47,1720.16,6942600000
0010,18/08/03,1770.48,1774.34,1740.93,1742.58,8232300000
0010,18/07/27,1736.10,1775.76,1735.74,1775.76,6418400000
0010,18/07/20,1734.56,1761.24,1731.84,1744.98,5018300000
0010,18/07/13,1697.06,1734.22,1688.36,1730.07,6580500000
0010,18/07/06,1725.55,1730.03,1671.95,1691.54,6957900000
0010,18/06/29,1747.84,1748.16,1711.75,1730.89,6606400000
0010,18/06/22,1784.37,1784.37,1728.49,1744.83,7434600000
0010,18/06/15,1781.46,1802.94,1778.62,1789.04,6750000000
0010,18/06/08,1765.77,1792.43,1764.22,1781.44,7463900000
0010,18/06/01,1771.50,1775.76,1731.28,1749.17,7838600000
0010,18/05/25,1815.23,1819.74,1766.56,1771.70,6933200000
0010,18/05/18,1792.95,1816.44,1791.59,1815.25,7653600000
0010,18/05/11,1774.26,1795.55,1764.11,1794.96,8064300000
0010,18/05/02,1774.36,1776.89,1767.57,1771.52,3217700000
0010,18/04/27,1753.16,1780.38,1749.04,1777.23,7639700000
0010,18/04/20,1732.09,1761.61,1726.68,1751.13,7124600000
0010,18/04/13,1716.28,1742.40,1715.55,1729.36,7230300000
0010,18/04/06,1716.32,1732.32,1687.00,1719.30,6804700000
0010,18/03/30,1649.60,1721.04,1645.16,1716.30,7098600000
0010,18/03/23,1729.60,1735.12,1661.23,1664.94,5688100000
0010,18/03/16,1740.67,1751.03,1727.44,1736.63,6193900000
0010,18/03/09,1697.11,1741.16,1687.29,1715.48,7242900000
0010,18/03/02,1774.76,1794.92,1700.65,1708.34,7233400000
0010,18/02/23,1753.15,1775.15,1737.58,1760.53,6457100000
0010,18/02/16,1751.23,1751.23,1691.65,1737.37,6804600000
0010,18/02/09,1837.56,1842.17,1707.07,1731.97,11331700000
0010,18/02/02,1881.38,1889.11,1836.68,1864.20,8368700000
0010,18/01/26,1890.78,1911.31,1878.89,1879.39,7379200000
0010,18/01/19,1888.63,1906.39,1874.78,1889.74,7494300000
0010,18/01/12,1895.08,1895.26,1872.86,1876.24,6535000000
0010,18/01/05,1841.20,1880.34,1840.40,1880.34,3372000000
0010,17/12/29,1830.79,1833.28,1815.96,1817.56,5019000000
0010,17/12/22,1807.50,1830.13,1806.03,1829.08,7674900000
0010,17/12/15,1809.16,1820.86,1787.04,1793.47,8432200000
0010,17/12/08,1801.50,1803.84,1761.18,1803.73,8196900000
0010,17/12/01,1787.94,1807.86,1767.11,1796.53,8629000000
0010,17/11/24,1756.38,1785.19,1753.88,1780.56,5915900000
0010,17/11/17,1798.04,1798.04,1737.72,1763.76,9215000000
0010,17/11/10,1798.02,1844.05,1784.36,1800.44,10341200000
0010,17/11/02,1770.94,1794.38,1758.81,1794.08,8184800000
0010,17/10/27,1747.73,1771.65,1741.78,1771.05,8703300000
0010,17/10/20,1713.33,1733.77,1711.37,1730.64,7795200000
0010,17/10/13,1684.66,1713.65,1683.93,1708.62,6401000000
