date,open,high,low,close,sma 8,sma 21,sma 34,sma 89,sma 233,stddev,-3s,-2s,+2s,+3s,RCI
2017/11/16,21975.23,22392.13,21972.34,22351.12,22567.7,22157.1,21708.3,21708.3,21708.3,494.1,20674.7,21168.8,23145.4,23639.5,77
2017/11/17,22603.3,22757.4,22319.12,22396.8,22500.1,22206.4,21729.2,21729.2,21729.2,461.5,20821.9,21283.4,23129.4,23590.9,69.7
2017/11/20,22279.98,22410.24,22215.07,22261.76,22418.6,22245.1,21744.9,21744.9,21744.9,427.6,20962.3,21389.9,23100.3,23527.9,60
2017/11/21,22456.79,22563.25,22416.48,22416.48,22362.1,22290.7,21804.1,21764.1,21764.1,388.7,21124.5,21513.2,23068.2,23456.9,50.9
2017/11/22,22601.55,22677.34,22513.44,22523.15,22342.3,22330.1,21860.3,21785.1,21785.1,366.8,21229.7,21596.5,23063.7,23430.5,42.7
2017/11/24,22390.14,22567.2,22381.01,22550.85,22363.6,22365.6,21916.9,21805.8,21805.8,349.1,21318.2,21667.4,23063.8,23413,37.7
2017/11/27,22657.08,22659.33,22423.4,22495.99,22378.1,22403.1,21971.8,21824,21824,315.6,21456.3,21771.9,23034.3,23349.9,27.5
2017/11/28,22474.74,22580.99,22363.94,22486.24,22435.3,22438.7,22024.6,21841,21841,276.8,21608.3,21885.1,22992.3,23269.1,16.2
2017/11/29,22613.96,22643.93,22537.12,22597.2,22466.1,22466.7,22076.8,21859.9,21859.9,260.4,21685.6,21945.9,22987.5,23247.8,9.2
2017/11/30,22601.83,22748.32,22502.68,22724.96,22507.1,22500.7,22131,21881,21881,244.1,21768.5,22012.6,22988.8,23232.9,3.5
2017/12/1,22916.93,22994.31,22675.07,22819.03,22576.7,22539.1,22185.9,21903.3,21903.3,226.1,21860.8,22086.9,22991.3,23217.4,-2.7
2017/12/4,22843.53,22864.33,22693.99,22707.16,22613.1,22552.8,22231.5,21922,21922,227.2,21871.1,22098.4,23007.2,23234.5,-0.6
2017/12/5,22595.33,22682.71,22522.28,22622.38,22625.5,22556.8,22271.7,21937.9,21937.9,227.7,21873.7,22101.4,23012.2,23239.9,3.4
2017/12/6,22525.38,22528.21,22119.21,22177.04,22578.7,22539.1,22296.4,21943.2,21943.2,242.3,21812.1,22054.4,23023.8,23266.1,-9.5
2017/12/7,22317.15,22515.24,22317.15,22498.03,22579,22518.2,22329.8,21955.3,21955.3,224.5,21844.7,22069.2,22967.2,23191.7,5.3
2017/12/8,22627.95,22819.71,22625.41,22811.08,22619.6,22513.3,22369.9,21973.5,21973.5,216.4,21864,22080.4,22946.2,23162.6,29.4
2017/12/11,22894.3,22938.73,22787.4,22938.73,22662.3,22516.6,22413.5,21993.6,21993.6,222.6,21848.7,22071.3,22961.9,23184.5,56.6
2017/12/12,22936.41,22994.33,22834.89,22866.17,22680,22525.4,22447.8,22011.4,22011.4,232.9,21826.7,22059.6,22991.2,23224.1,73.2
2017/12/13,22879.27,22879.37,22697.32,22758.07,22672.3,22543.4,22475.9,22026.4,22026.4,235.7,21836.3,22072,23014.8,23250.5,74.9
2017/12/14,22699.3,22786.61,22638.76,22694.45,22670.7,22558.3,22504.9,22039.5,22039.5,234.8,21853.9,22088.7,23027.9,23262.7,73
2017/12/15,22621.36,22745.09,22478.32,22553.22,22662.1,22583.3,22528.8,22049.3,22049.3,201.1,21980.1,22181.1,22985.5,23186.5,64.5
2017/12/18,22770.44,22927.5,22735.2,22901.77,22752.7,22609.6,22555.1,22065.4,22065.4,205.1,21994.2,22199.3,23019.9,23225,65.8
2017/12/19,22961.47,22990.42,22862.82,22868,22798.9,22632,22580.3,22080.3,22080.3,206.5,22012.6,22219,23045,23251.4,66.6
2017/12/20,22834.93,22923.5,22806.73,22891.72,22809,22662,22606.2,22095,22095,195.5,22075.6,22271.1,23052.9,23248.4,66.9
2017/12/21,22852.01,22894.95,22728.06,22866.1,22799.9,22683.4,22619.3,22108.8,22108.8,191.8,22107.9,22299.8,23067,23258.9,65.5
2017/12/22,22850.73,22908.84,22801.16,22902.76,22804.5,22701.5,22630,22122.7,22122.7,193.8,22120,22313.8,23089.2,23283,67.4
2017/12/25,22909.41,22948.83,22870.19,22939.18,22827.1,22720,22641.5,22136.8,22136.8,197.2,22128.3,22325.5,23114.5,23311.7,70
2017/12/26,22922.95,22950.15,22877.63,22892.69,22851.9,22738.9,22640.2,22149.6,22149.6,193.7,22157.8,22351.5,23126.3,23320,68.4
2017/12/27,22854.39,22936.16,22854.39,22911.21,22896.7,22759.1,22640.1,22162.3,22162.3,188.1,22194.8,22382.9,23135.3,23323.4,67.4
2017/12/28,22912.05,22954.45,22736.43,22783.98,22882,22768,22637.6,22172.5,22172.5,184.4,22214.7,22399.1,23136.9,23321.3,58.2
2017/12/29,22831.49,22881.21,22753.2,22764.94,22869.1,22769.9,22640,22182.1,22182.1,184.2,22217.4,22401.5,23138.3,23322.4,48.8
2018/1/4,23073.73,23506.33,23065.2,23506.33,22945.9,22802.6,22673.1,22203.1,22203.1,244.5,22069,22313.5,23291.7,23536.2,59.4
2018/1/5,23643,23730.47,23520.52,23714.53,23052,22850.6,22712.4,22226.7,22226.7,313.8,21909.1,22222.9,23478.3,23792.1,62.3
2018/1/9,23948.97,23952.61,23789.03,23849.99,23170.4,22909,22766,22251.7,22251.7,377.2,21777.5,22154.7,23663.3,24040.5,63.8
2018/1/10,23832.81,23864.76,23755.45,23788.2,23276.5,22985.8,22808.2,22275,22275,384.6,21832,22216.6,23755,24139.6,63.6
2018/1/11,23656.39,23734.97,23601.84,23710.43,23378.7,23043.5,22846.9,22296.4,22296.4,398.5,21848.1,22246.5,23840.5,24238.9,62.9
2018/1/12,23719.66,23743.05,23588.07,23653.82,23471.5,23083.6,22887.8,22316.3,22316.3,416,21835.7,22251.7,23915.5,24331.5,66.9
2018/1/15,23827.98,23833.27,23685.02,23714.88,23587.9,23120.6,22926,22336.6,22336.6,436.4,21811.4,22247.8,23993.4,24429.8,78.3
2018/1/16,23721.17,23962.07,23701.83,23951.81,23736.2,23172.3,22968,22359.7,22359.7,467.9,21768.5,22236.4,24108.2,24576.1,83.2
2018/1/17,23783.42,23891.63,23739.17,23868.34,23781.5,23225.2,23006.8,22380.9,22380.9,481.3,21781.2,22262.6,24187.8,24669.2,83.5
2018/1/18,24078.93,24084.42,23699.47,23763.37,23787.6,23276.1,23044.1,22400.1,22400.1,478.9,21839.4,22318.3,24233.9,24712.8,81.6
