code,date,open,high,low,close
998407.O,2017/12/11,22894.3,22938.73,22787.4,22938.73
998407.O,2017/12/12,22936.41,22994.33,22834.89,22866.17
998407.O,2017/12/13,22879.27,22879.37,22697.32,22758.07
998407.O,2017/12/14,22699.3,22786.61,22638.76,22694.45
998407.O,2017/12/15,22621.36,22745.09,22478.32,22553.22
998407.O,2017/12/18,22770.44,22927.5,22735.2,22901.77
998407.O,2017/12/19,22961.47,22990.42,22862.82,22868.0
998407.O,2017/12/20,22834.93,22923.5,22806.73,22891.72
998407.O,2017/12/21,22852.01,22894.95,22728.06,22866.1
998407.O,2017/12/22,22850.73,22908.84,22801.16,22902.76
998407.O,2017/12/25,22909.41,22948.83,22870.19,22939.18
998407.O,2017/12/26,22922.95,22950.15,22877.63,22892.69
998407.O,2017/12/27,22854.39,22936.16,22854.39,22911.21
998407.O,2017/12/28,22912.05,22954.45,22736.43,22783.98
998407.O,2017/12/29,22831.49,22881.21,22753.2,22764.94
998407.O,2018/01/04,23073.73,23506.33,23065.2,23506.33
998407.O,2018/01/05,23643.0,23730.47,23520.52,23714.53
998407.O,2018/01/09,23948.97,23952.61,23789.03,23849.99
998407.O,2018/01/10,23832.81,23864.76,23755.45,23788.2
998407.O,2018/01/11,23656.39,23734.97,23601.84,23710.43
998407.O,2018/01/12,23719.66,23743.05,23588.07,23653.82
998407.O,2018/01/15,23827.98,23833.27,23685.02,23714.88
998407.O,2018/01/16,23721.17,23962.07,23701.83,23951.81
998407.O,2018/01/17,23783.42,23891.63,23739.17,23868.34
998407.O,2018/01/18,24078.93,24084.42,23699.47,23763.37
998407.O,2018/01/19,23854.11,23872.69,23735.61,23808.06
998407.O,2018/01/22,23797.84,23816.33,23697.81,23816.33
998407.O,2018/01/23,23924.4,24129.34,23916.02,24124.15
998407.O,2018/01/24,24026.43,24072.77,23917.14,23940.78
998407.O,2018/01/25,23750.65,23828.4,23649.03,23669.49
998407.O,2018/01/26,23757.34,23797.96,23592.28,23631.88
998407.O,2018/01/29,23707.14,23787.23,23580.17,23629.34
998407.O,2018/01/30,23559.33,23581.98,23233.37,23291.97
998407.O,2018/01/31,23205.23,23375.38,23092.85,23098.29
998407.O,2018/02/01,23276.1,23492.77,23211.12,23486.11
998407.O,2018/02/02,23361.67,23367.96,23122.45,23274.53
998407.O,2018/02/05,22921.16,22967.69,22659.43,22682.08
998407.O,2018/02/06,22267.0,22277.45,21078.71,21610.24
998407.O,2018/02/07,22001.29,22353.87,21627.13,21645.37
998407.O,2018/02/08,21721.57,21977.03,21649.7,21890.86
998407.O,2018/02/09,21507.74,21510.3,21119.01,21382.62
998407.O,2018/02/13,21633.34,21679.2,21211.53,21244.68
998407.O,2018/02/14,21251.24,21371.01,20950.15,21154.17
998407.O,2018/02/15,21384.1,21578.99,21308.92,21464.98
998407.O,2018/02/16,21555.99,21866.37,21499.88,21720.25
998407.O,2018/02/19,21903.66,22152.85,21858.33,22149.21
998407.O,2018/02/20,22054.32,22063.87,21831.45,21925.1
998407.O,2018/02/21,21942.42,22130.58,21836.73,21970.81
998407.O,2018/02/22,21789.88,21799.4,21626.85,21736.44
998407.O,2018/02/23,21789.72,21903.39,21741.63,21892.78
998407.O,2018/02/26,22134.64,22226.53,22040.87,22153.63
998407.O,2018/02/27,22391.67,22502.05,22325.07,22389.86
998407.O,2018/02/28,22292.53,22380.28,22068.24,22068.24
998407.O,2018/03/01,21901.13,21901.13,21645.22,21724.47
998407.O,2018/03/02,21339.98,21366.09,21088.96,21181.64
998407.O,2018/03/05,21047.81,21164.38,20937.26,21042.09
998407.O,2018/03/06,21390.2,21551.14,21381.42,21417.76
998407.O,2018/03/07,21261.96,21484.08,21201.94,21252.72
998407.O,2018/03/08,21488.16,21488.16,21299.4,21368.07
998407.O,2018/03/09,21594.22,21884.45,21357.55,21469.2
998407.O,2018/03/12,21826.1,21971.16,21689.97,21824.03
998407.O,2018/03/13,21742.45,21968.1,21700.78,21968.1
998407.O,2018/03/14,21764.99,21881.09,21684.02,21777.29
998407.O,2018/03/15,21704.14,21825.97,21555.49,21803.95
998407.O,2018/03/16,21876.53,21879.28,21632.85,21676.51
998407.O,2018/03/19,21537.9,21659.04,21366.88,21480.9
998407.O,2018/03/20,21297.98,21384.86,21223.97,21380.97
998407.O,2018/03/22,21352.16,21592.0,21349.71,21591.99
998407.O,2018/03/23,21188.8,21188.8,20559.61,20617.86
