0,22d2a,20180115,1659
147,4668,東証1部,(株)明光ネットワークジャパン,15:00,1277,1368.41,-6.68
148,6077,東証1部,(株)Ｎ・フィールド,15:00,1566,1678.12,-6.68
149,8462,東証JQS,フューチャーベンチャーキャピタル(株),15:00,1371,1469.12,-6.68
150,8168,東証1部,(株)ケーヨー,15:00,686,734.93,-6.66
151,4540,東証1部,(株)ツムラ,15:00,3720,3984.13,-6.63
152,3562,東証JQS,(株)Ｎｏ．１,15:00,2141,2292.89,-6.62
153,4918,東証JQS,(株)アイビー化粧品,15:00,5290,5664.53,-6.61
154,1569,東証ETF,TOPIXベア上場投信,15:00,2963,3171.56,-6.58
155,2586,マザーズ,(株)フルッタフルッタ,15:00,662,708.61,-6.58
156,7238,東証1部,曙ブレーキ工業(株),15:00,329,352.16,-6.58
157,1590,東証ETF,iシェアーズ米国不動産株ETF-JDR(ダウ米不動産),15:00,8440,9032.53,-6.56
158,4696,東証1部,ワタベウェディング(株),15:00,669,715.89,-6.55
159,3565,マザーズ,アセンテック(株),15:00,3600,3851.33,-6.53
160,7581,東証1部,(株)サイゼリヤ,15:00,3235,3460.93,-6.53
161,3103,東証1部,ユニチカ(株),15:00,829,886.59,-6.50
162,6966,東証1部,(株)三井ハイテック,15:00,2133,2280.93,-6.49
163,9424,東証1部,日本通信(株),15:00,118,126.17,-6.48
164,7895,東証JQS,中央化学(株),14:53,390,416.91,-6.45
165,8255,東証1部,アクシアル　リテイリング(株),15:00,4045,4322.73,-6.42
166,2152,東証JQS,幼児活動研究会(株),15:00,1698,1813.53,-6.37
167,1695,東証ETF,ETFS 小麦上場投資信託,14:57,66,70.48,-6.36
168,1801,東証1部,大成建設(株),15:00,5640,6017.33,-6.27
169,9919,東証1部,(株)関西スーパーマーケット,15:00,1248,1330.93,-6.23
170,2060,東証1部,フィード・ワン(株),15:00,262,279.37,-6.22
171,1697,東証ETF,ETFS 大豆上場投資信託,09:45,2200,2345.44,-6.20
172,2201,東証1部,森永製菓(株),15:00,5660,6029.73,-6.13
173,5932,東証1部,三協立山(株),15:00,1527,1625.80,-6.08
174,6289,東証1部,(株)技研製作所,15:00,2915,3102.24,-6.04
175,9976,東証JQS,(株)セキチュー,14:08,670,712.85,-6.01
176,3815,マザーズ,(株)メディア工房,15:00,510,542.24,-5.95
177,2769,東証JQS,(株)ヴィレッジヴァンガードコーポレーション,15:00,1033,1098.17,-5.93
178,3341,東証1部,日本調剤(株),15:00,3375,3586.53,-5.90
179,3913,マザーズ,(株)ｓＭｅｄｉｏ,15:00,1774,1884.83,-5.88
180,4686,東証1部,(株)ジャストシステム,15:00,2126,2258.25,-5.86
181,4119,東証2部,日本ピグメント(株),15:00,4010,4259.00,-5.85
182,4633,東証1部,サカタインクス(株),15:00,1852,1966.97,-5.85
183,4220,東証1部,リケンテクノス(株),15:00,623,661.51,-5.82
184,6203,東証1部,豊和工業(株),15:00,1543,1638.01,-5.80
185,4735,東証2部,(株)京進,15:00,936,993.21,-5.76
186,9432,東証1部,日本電信電話(株),15:00,5161,5473.52,-5.71
187,6628,東証JQS,オンキヨー(株),15:00,176,186.45,-5.61
188,7600,東証1部,(株)日本エム・ディ・エム,15:00,914,968.17,-5.60
189,7827,東証JQS,(株)オービス,15:00,1167,1234.93,-5.50
190,6958,東証1部,日本ＣＭＫ(株),15:00,1027,1086.69,-5.49
191,9826,東証2部,(株)ＪＥＵＧＩＡ,01/12,1394,1471.04,-5.47
192,3723,マザーズ,日本ファルコム(株),15:00,960,1014.97,-5.42
193,5935,東証JQS,元旦ビューティ工業(株),01/09,4060,4290.67,-5.42
194,6969,東証2部,松尾電機(株),15:00,809,855.25,-5.41
195,4763,東証1部,(株)クリーク・アンド・リバー社,15:00,1100,1162.64,-5.39
196,5351,東証1部,品川リフラクトリーズ(株),15:00,3310,3498.53,-5.39
197,3317,東証JQS,(株)フライングガーデン,15:00,3910,4131.53,-5.36
198,6894,東証2部,パルステック工業(株),14:28,1809,1911.05,-5.34
199,7618,東証1部,(株)ピーシーデポコーポレーション,15:00,818,864.15,-5.34
200,6942,東証JQS,(株)ソフィアホールディングス,14:25,1738,1835.59,-5.32
201,3526,東証1部,芦森工業(株),15:00,2918,3081.53,-5.31
