Code,Name,Short Seller,Date,Ratio,Number,Prev. Date,Prev. Ratio
4502,武田薬品工業　普通株式,Societe Generale,2018-07-20,0.0065,5223876,2018-07-19 00:00:00,0.0065
4502,武田薬品工業　普通株式,モルガン・スタンレーMUFG証券株式会社,2018-07-20,0.0073,5830777,2018-07-10 00:00:00,0.006
4563,アンジェス　普通株式,JPM Securities Japan Co Ltd.,2018-07-19,0.013300000000000001,1155900,2018-07-18 00:00:00,0.0118
4563,アンジェス　普通株式,Nomura International plc,2018-07-19,0.0084,728900,2018-07-13 00:00:00,0.0070999999999999995
4564,オンコセラピー・サイエンス　普通株式,Credit Suisse Securities (Europe) Limited,2018-07-19,0.008,1182165,2018-06-28 00:00:00,0.0070999999999999995
4565,そーせいグループ　普通株式,Credit Suisse Securities (Europe) Limited,2018-07-19,0.0049,375032,2018-07-17 00:00:00,0.0058
4576,デ・ウエスタン・セラピテクス研究所　普通株式,OXAM QUANT FUND LIMITED,2018-07-19,0.0067,175200,2018-07-18 00:00:00,0.0067
4579,ラクオリア創薬　普通株式,モルガン・スタンレーMUFG証券株式会社,2018-07-20,0.014199999999999999,290900,2018-07-19 00:00:00,0.0125
4586,メドレックス　普通株式,Nomura International plc,2018-07-19,0.0072,73800,2018-07-18 00:00:00,0.0042
4586,メドレックス　普通株式,OXAM QUANT FUND LIMITED,2018-07-19,0.0105,107200,2018-07-18 00:00:00,0.0105
4587,ペプチドリーム　普通株式,GOLDMAN SACHS INTERNATIONAL,2018-07-19,0.0111,1365867,2018-07-18 00:00:00,0.0104
4588,オンコリスバイオファーマ　普通株式,JPM Securities Japan Co Ltd.,2018-07-19,0.013999999999999999,156000,2018-07-17 00:00:00,0.0132
4588,オンコリスバイオファーマ　普通株式,OXAM QUANT FUND LIMITED,2018-07-19,0.0116,128400,2018-07-18 00:00:00,0.0116
4588,オンコリスバイオファーマ　普通株式,JPM Securities Japan Co Ltd.,2018-07-20,0.013300000000000001,156000,2018-07-19 00:00:00,0.013999999999999999
4592,サンバイオ　普通株式,モルガン・スタンレーMUFG証券株式会社,2018-07-20,0.0059,289441,2018-07-17 00:00:00,0.0064
4594,ブライトパス・バイオ　普通株式,JPM Securities Japan Co Ltd.,2018-07-20,0.022799999999999997,957400,2018-07-18 00:00:00,0.020499999999999997
4597,ソレイジア・ファーマ　普通株式,JPM Securities Japan Co Ltd.,2018-07-20,0.018600000000000002,1649548,2018-07-18 00:00:00,0.0194
4667,アイサンテクノロジー　普通株式,JPM Securities Japan Co Ltd.,2018-07-19,0.006,31600,2018-07-18 00:00:00,0.0059
4755,楽天　普通株式,MERRILL LYNCH INTERNATIONAL,2018-07-19,0.0075,10865562,2018-07-18 00:00:00,0.0074
4764,ＳＡＭＵＲＡＩ＆Ｊ　ＰＡＲＴＮＥＲＳ　普通株式,JPM Securities Japan Co Ltd.,2018-07-20,0.013999999999999999,488800,2018-06-27 00:00:00,0.0152
4783,日本コンピュータ・ダイナミクス　普通株式,モルガン・スタンレーMUFG証券株式会社,2018-07-20,0.0064,56620,2018-07-19 00:00:00,0.0059
4814,ネクストウェア　普通株式,JPM Securities Japan Co Ltd.,2018-07-20,0.0053,70000,2018-07-11 00:00:00,0.0038
4911,資生堂　普通株式,BNPパリバ証券株式会社,2018-07-19,0,0,2018-07-18 00:00:00,0.0053
4929,アジュバンコスメジャパン　普通株式,Citigroup Global Markets Limited,2018-07-19,0.0124,98800,2018-06-15 00:00:00,0.0174
4978,リプロセル　普通株式,Credit Suisse Securities (Europe) Limited,2018-07-19,0.006999999999999999,457340,2018-07-03 00:00:00,0.0067
5017,富士石油　普通株式,"Deutsche Bank Aktiengesellschaft, London 　ドイツ銀行ロンドン支店",2018-07-19,0.0068000000000000005,534400,2018-07-18 00:00:00,0.0076
5202,日本板硝子　普通株式,モルガン・スタンレーMUFG証券株式会社,2018-07-20,0.0069,625051,2018-07-10 00:00:00,0.0079
5232,住友大阪セメント　普通株式,"Deutsche Bank Aktiengesellschaft, London 　ドイツ銀行ロンドン支店",2018-07-19,0.0059,2438531,2018-07-11 00:00:00,0.006
