date,open,high,low,close,volume,adj.close,sma 8,sma 25,sma 90,stddev,-3s,-2s,+2s,+3s,RCI
2017-04-05,700,719,700,707,44500,707,708.1,737.1,797.4,30.4,645.8,676.2,798.0,828.4,-86.5
2017-04-06,700,703,692,693,52100,693,708.4,733.9,795.6,30.7,641.8,672.5,795.3,826.0,-86.6
2017-04-07,693,703,691,700,63300,700,708.8,730.8,794.1,30.0,640.7,670.7,790.9,820.9,-85.2
2017-04-10,696,713,680,680,83200,680,704.6,727.1,792.2,30.4,636.0,666.4,787.8,818.2,-85.6
2017-04-11,676,685,661,662,92200,662,698.9,722.6,790.2,31.5,628.2,659.7,785.5,817.0,-85.8
2017-04-12,660,661,632,640,103100,640,687.4,716.7,787.8,32.6,619.0,651.6,781.8,814.4,-85.8
2017-04-13,630,651,621,646,58000,646,678.1,711.5,785.6,33.1,612.3,645.4,777.6,810.7,-85.8
2017-04-14,636,656,635,645,26300,645,671.6,707.4,783.5,34.7,603.4,638.1,776.7,811.4,-86.5
2017-04-17,653,658,645,648,27600,648,664.2,702.8,781.5,34.6,599.0,633.6,772.0,806.6,-86.0
2017-04-18,650,658,647,653,24400,653,659.2,698.7,779.6,34.3,595.9,630.2,767.2,801.5,-85.2
2017-04-19,645,667,645,648,49600,648,652.8,694.6,777.7,33.9,592.9,626.8,762.4,796.3,-84.5
2017-04-20,648,659,648,656,27500,656,649.8,691.1,775.9,33.1,591.7,624.9,757.3,790.5,-83.1
2017-04-21,654,665,650,661,36400,661,649.6,687.4,774.3,31.0,594.4,625.4,749.4,780.4,-80.9
2017-04-24,662,665,653,654,38500,654,651.4,683.8,772.7,29.2,596.1,625.3,742.3,771.5,-78.4
2017-04-25,650,666,650,660,22300,660,653.1,681.3,771.1,28.5,595.8,624.3,738.3,766.8,-75.7
2017-04-26,667,693,664,679,107300,679,657.4,680.4,769.9,28.2,595.9,624.1,736.7,764.9,-73.6
2017-04-27,679,684,669,677,52700,677,661.0,678.9,768.6,27.3,596.9,624.2,733.6,760.9,-68.7
2017-04-28,680,682,665,665,33000,665,662.5,677.3,767.3,26.9,596.7,623.6,731.0,757.9,-63.9
2017-05-01,666,668,661,667,17800,667,664.9,676.3,766.0,26.8,596.0,622.7,729.9,756.6,-59.7
2017-05-02,672,675,665,669,25600,669,666.5,675.2,764.7,26.5,595.8,622.3,728.1,754.6,-52.8
2017-05-08,676,678,672,677,33900,677,668.5,673.8,763.6,25.3,598.0,623.3,724.3,749.6,-43.5
2017-05-15,680,723,679,717,169800,717,676.4,674.1,763.0,25.8,596.6,622.4,725.8,751.6,-24.2
2017-05-16,715,717,700,704,65100,704,681.9,673.0,762.3,23.7,601.8,625.5,720.5,744.2,-4.8
2017-05-17,696,725,695,722,58500,722,687.2,673.1,761.8,23.9,601.4,625.3,720.9,744.8,18.3
2017-05-18,703,716,701,707,46300,707,691.0,673.5,761.1,24.4,600.3,624.7,722.3,746.7,33.6
2017-05-19,714,743,711,742,107800,742,700.6,674.9,760.9,27.3,593.1,620.4,729.4,756.7,53.3
2017-05-22,750,792,748,767,378200,767,713.1,677.8,761.0,32.8,579.5,612.3,743.3,776.1,67.8
2017-05-23,767,777,750,762,87700,762,724.8,680.3,761.0,36.6,570.4,607.0,753.6,790.2,80.9
2017-05-24,772,772,756,757,76200,757,734.8,683.4,761.0,39.7,564.3,604.0,762.8,802.5,92.5
2017-05-25,755,767,752,758,33000,758,739.9,687.2,760.9,42.1,560.8,603.0,771.4,813.6,96.3
2017-05-26,764,764,748,758,48200,758,746.6,692.0,760.9,43.2,562.4,605.6,778.4,821.6,95.7
2017-05-29,765,768,752,766,42900,766,752.1,696.8,760.9,44.5,563.2,607.7,785.9,830.4,95.4
2017-05-30,765,765,750,755,42200,755,758.1,701.2,759.8,44.6,567.3,611.9,790.5,835.1,93.8
2017-05-31,750,754,743,746,61700,746,758.6,705.1,758.3,44.1,572.9,616.9,793.3,837.3,91.8
2017-06-01,740,761,740,759,46200,759,757.6,709.3,757.2,44.0,577.4,621.4,797.2,841.2,90.5
2017-06-02,769,772,749,750,59000,750,756.1,713.4,755.8,42.7,585.2,627.9,798.9,841.6,87.2
2017-06-05,758,765,755,758,32100,758,756.2,717.5,755.0,41.9,591.8,633.7,801.3,843.2,84.3
2017-06-06,765,768,756,757,38700,757,756.1,721.3,754.3,40.9,598.6,639.5,803.1,844.0,80.3
2017-06-07,756,777,756,775,89100,775,758.2,726.2,753.8,39.7,607.0,646.7,805.7,845.4,80.3
2017-06-08,785,789,770,779,151300,779,759.9,730.9,753.1,38.6,615.1,653.7,808.1,846.7,80.3
2017-06-09,777,781,770,778,36400,778,762.8,734.9,752.3,38.1,620.5,658.7,811.1,849.3,81.4
2017-06-14,782,783,770,772,27200,772,766.0,738.7,751.7,36.8,628.2,665.1,812.3,849.2,81.7
2017-06-15,778,778,768,777,27800,777,768.2,743.2,751.0,34.2,640.6,674.8,811.6,845.8,81.3
2017-06-16,777,786,771,784,80000,784,772.5,747.8,750.3,31.2,654.1,685.4,810.2,841.5,81.3
2017-06-19,792,855,792,830,393400,830,781.5,754.3,750.2,30.9,661.6,692.5,816.1,847.0,81.3
2017-06-20,825,838,817,824,87900,824,789.9,760.2,749.8,29.5,671.6,701.2,819.2,848.8,81.2
