date,open,high,low,close,sma 5,sma 21,sma 43,sma 55,sma 144,stddev,-3s,-2s,+2s,+3s,RCI
2016-11-01,17380.54,17473.12,17339.64,17442.4,17408.4,17042.0,16887.3,16821.5,16569.2,298.2,16147.4,16445.6,17638.4,17936.6,16932.0
2016-11-02,17238.0,17283.6,17080.59,17134.68,17357.0,17074.6,16905.3,16837.5,16570.3,265.9,16276.9,16542.8,17606.4,17872.3,16874.0
2016-11-04,16964.5,16996.09,16801.98,16905.36,17270.8,17089.2,16909.2,16842.1,16570.1,246.1,16350.8,16596.9,17581.5,17827.6,16752.0
2016-11-07,17126.03,17186.89,17056.84,17177.21,17216.9,17110.3,16919.7,16849.6,16573.2,232.9,16411.5,16644.5,17576.1,17809.1,16670.0
2016-11-08,17242.7,17247.04,17130.83,17171.38,17166.2,17127.0,16926.3,16857.6,16574.1,223.4,16456.8,16680.2,17573.8,17797.2,16582.0
2016-11-09,17281.95,17427.71,16111.81,16251.54,16928.0,17096.2,16910.6,16851.3,16568.9,290.9,16223.4,16514.4,17678.0,17969.0,16326.0
2016-11-10,16562.86,17393.82,16560.66,17344.42,16970.0,17119.3,16920.4,16862.2,16572.0,290.5,16247.9,16538.4,17700.2,17990.7,16309.0
2016-11-11,17526.61,17621.73,17333.49,17374.79,17063.9,17135.9,16928.2,16878.3,16574.6,294.8,16251.5,16546.3,17725.5,18020.3,16329.0
2016-11-14,17467.49,17697.33,17455.78,17672.62,17163.0,17175.6,16942.0,16898.8,16578.3,308.7,16249.6,16558.3,17792.9,18101.6,16353.0
2016-11-15,17690.22,17727.58,17605.77,17668.15,17262.3,17218.1,16957.2,16918.3,16582.2,312.2,16281.6,16593.8,17842.4,18154.6,16374.0
2016-11-18,18024.21,18043.72,17967.41,17967.41,17605.5,17271.0,16980.7,16945.0,16589.8,340.6,16249.1,16589.7,17952.3,18292.9,16395.0
2016-11-21,18038.09,18129.03,18007.79,18106.02,17757.8,17325.4,17007.2,16972.5,16599.2,378.2,16190.7,16568.9,18081.9,18460.1,16430.0
2016-11-22,18091.05,18175.63,18050.55,18162.94,17915.4,17380.9,17041.8,17001.7,16613.0,411.8,16145.5,16557.3,18204.5,18616.3,16462.0
2016-11-24,18329.78,18382.72,18310.31,18333.41,18047.6,17433.2,17081.8,17037.5,16628.4,459.4,16055.1,16514.5,18351.9,18811.3,16538.0
2016-11-25,18387.59,18482.94,18288.5,18381.22,18190.2,17490.1,17127.8,17067.4,16646.8,499.5,15991.7,16491.2,18489.0,18988.5,16603.0
2016-11-28,18302.58,18374.93,18222.82,18356.89,18268.1,17543.6,17170.5,17097.1,16665.1,529.9,15954.0,16483.9,18603.3,19133.2,16660.0
2016-11-29,18263.63,18327.51,18258.82,18307.04,18308.3,17588.4,17212.7,17122.9,16682.9,553.3,15928.4,16481.7,18695.1,19248.4,16721.0
2016-11-30,18356.03,18370.31,18280.66,18308.48,18337.4,17632.1,17247.6,17148.0,16700.1,572.9,15913.5,16486.4,18777.8,19350.7,16783.0
2016-12-01,18535.24,18746.28,18469.27,18513.12,18373.3,17688.1,17288.5,17176.9,16719.3,599.4,15889.8,16489.2,18887.0,19486.4,16822.0
2016-12-02,18435.55,18469.68,18315.38,18426.08,18382.3,17734.8,17332.3,17202.1,16736.7,617.5,15882.2,16499.7,18969.9,19587.4,16879.0
2016-12-05,18349.92,18365.74,18227.39,18274.99,18365.9,17775.2,17369.3,17223.8,16749.8,624.0,15903.1,16527.1,19023.3,19647.3,16888.0
2016-12-06,18457.2,18484.8,18318.99,18360.54,18376.6,17819.0,17413.4,17248.3,16759.9,631.7,15924.0,16555.7,19082.3,19714.0,16909.0
2016-12-07,18434.54,18502.47,18410.88,18496.69,18414.3,17883.8,17455.3,17276.3,16771.3,627.8,16000.4,16628.2,19139.4,19767.2,16910.0
2016-12-08,18674.19,18765.47,18614.01,18765.47,18464.8,17972.4,17509.1,17309.0,16788.6,613.9,16130.6,16744.6,19200.2,19814.2,16914.0
2016-12-09,18839.98,19042.48,18821.41,18996.37,18578.8,18059.0,17564.9,17351.3,16803.4,624.4,16185.9,16810.3,19307.7,19932.1,16918.0
2016-12-12,19183.82,19280.93,19054.0,19155.03,18754.8,18153.5,17621.2,17397.5,16819.0,633.3,16253.5,16886.8,19420.2,20053.5,16919.0
2016-12-13,19120.76,19253.51,19060.72,19250.52,18932.8,18296.3,17677.7,17449.2,16832.1,508.9,16769.5,17278.4,19314.2,19823.1,16919.0
2016-12-14,19270.01,19284.28,19184.75,19253.61,19084.2,18387.2,17732.5,17498.9,16843.7,500.9,16884.6,17385.5,19388.9,19889.8,16919.0
2016-12-15,19327.7,19436.9,19192.6,19273.79,19185.9,18477.6,17788.6,17549.5,16856.5,479.9,17037.9,17517.8,19437.4,19917.3,16919.0
2016-12-16,19438.39,19439.97,19360.36,19401.15,19266.8,18559.9,17843.9,17596.6,16870.7,483.2,17110.4,17593.6,19526.2,20009.4,16921.0
2016-12-19,19345.84,19399.26,19307.14,19391.6,19314.1,18642.0,17903.2,17644.6,16885.3,470.3,17231.1,17701.4,19582.6,20052.9,16919.0
2016-12-20,19367.84,19511.2,19356.81,19494.53,19362.9,18714.7,17966.5,17698.2,16904.9,478.8,17278.4,17757.2,19672.2,20151.0,16919.0
2016-12-21,19547.28,19592.9,19375.19,19444.49,19401.1,18778.5,18026.6,17748.4,16927.8,482.8,17330.2,17813.0,19744.0,20226.8,16918.0
2016-12-22,19396.85,19427.67,19327.51,19427.67,19431.9,18838.7,18084.0,17802.3,16950.9,481.0,17395.6,17876.7,19800.7,20281.8,16914.0
2016-12-26,19394.41,19432.48,19385.94,19396.64,19431.0,18889.3,18139.7,17851.4,16970.0,481.1,17445.9,17927.0,19851.6,20332.7,16918.0
2016-12-27,19353.43,19478.58,19352.06,19403.06,19433.3,18938.0,18190.1,17905.1,16990.8,478.8,17501.5,17980.3,19895.7,20374.5,16931.0
2016-12-28,19392.11,19442.13,19364.73,19401.72,19414.7,18987.7,18241.7,17956.1,17011.2,469.6,17578.8,18048.4,19927.0,20396.6,16925.0
2016-12-29,19301.04,19301.04,19092.22,19145.14,19354.8,19027.7,18286.1,17999.9,17028.5,443.8,17696.3,18140.1,19915.3,20359.1,16829.0
2017-01-04,19298.68,19594.16,19277.93,19594.16,19388.1,19088.9,18338.0,18050.3,17048.9,428.0,17804.8,18232.9,19944.9,20373.0,16832.0
2017-01-05,19602.1,19615.4,19473.28,19520.69,19413.0,19136.9,18387.5,18098.0,17068.9,416.6,17887.2,18303.7,19970.1,20386.6,16844.0
2017-01-06,19393.55,19472.37,19354.44,19454.33,19423.2,19185.8,18436.7,18145.2,17087.8,388.3,18020.8,18409.1,19962.5,20350.8,16832.0
2017-01-10,19414.83,19484.9,19255.35,19301.44,19403.2,19234.7,18479.9,18186.6,17106.2,327.8,18251.2,18579.0,19890.4,20218.2,16736.0
2017-01-11,19358.64,19402.17,19325.46,19364.67,19447.1,19282.5,18525.0,18232.5,17126.1,260.2,18501.8,18762.1,19802.9,20063.2,16626.0
2017-01-12,19300.19,19300.19,19069.02,19134.7,19355.2,19312.9,18564.3,18275.4,17142.6,192.3,18736.1,18928.4,19697.4,19889.7,16404.0
2017-01-13,19174.97,19299.36,19156.93,19287.28,19308.5,19337.7,18614.4,18319.6,17160.0,146.2,18899.2,19045.4,19630.0,19776.2,16258.0
2017-01-16,19219.13,19255.41,19061.27,19095.24,19236.7,19342.5,18665.3,18358.3,17175.7,135.8,18935.0,19070.8,19614.2,19750.0,15986.0
2017-01-17,19038.45,19043.91,18812.86,18813.53,19139.1,19326.2,18703.4,18391.3,17187.9,174.4,18803.1,18977.5,19674.9,19849.3,15778.0
2017-01-18,18753.96,18941.24,18650.33,18894.37,19045.0,19309.2,18743.4,18421.5,17199.4,197.8,18715.7,18913.5,19704.9,19902.7,15594.0
2017-01-19,19082.83,19122.39,18982.13,19072.25,19032.5,19300.6,18809.0,18455.8,17214.1,204.2,18687.9,18892.1,19709.1,19913.3,15432.0
2017-01-20,19059.15,19176.86,19040.2,19137.91,19002.7,19294.1,18850.7,18490.4,17232.0,207.3,18672.3,18879.6,19708.6,19915.9,15308.0
2017-01-23,18938.45,19024.21,18879.68,18891.03,18961.8,19269.8,18886.0,18518.2,17247.6,223.4,18599.7,18823.1,19716.5,19939.9,15245.0
2017-01-24,18817.42,18915.7,18783.16,18787.99,18956.7,19241.1,18911.9,18543.6,17262.9,244.7,18506.9,18751.6,19730.6,19975.3,15183.0
2017-01-25,19091.23,19133.18,18987.45,19057.5,18989.3,19220.3,18944.2,18574.8,17279.5,240.6,18498.4,18739.0,19701.6,19942.2,15182.0
2017-01-26,19260.67,19405.23,19232.46,19402.39,19055.4,19218.3,18977.6,18610.4,17297.3,238.9,18501.7,18740.6,19696.0,19934.9,15323.0
2017-01-27,19453.51,19486.68,19404.13,19467.4,19121.3,19220.2,19009.3,18647.5,17321.3,240.7,18498.0,18738.7,19701.7,19942.4,15532.0
2017-01-30,19371.28,19390.97,19295.8,19368.85,19216.8,19218.8,19037.3,18682.6,17345.6,239.8,18499.4,18739.2,19698.4,19938.2,15614.0
2017-01-31,19145.35,19199.75,19041.34,19041.34,19267.5,19201.6,19053.8,18717.2,17367.3,238.9,18484.9,18723.8,19679.4,19918.3,15613.0
2017-02-01,18926.97,19155.79,18916.18,19148.08,19285.6,19189.5,19071.6,18758.0,17393.1,234.6,18485.6,18720.2,19658.8,19893.4,15690.0
2017-02-06,19069.72,19075.57,18899.4,18976.71,19200.5,19181.5,19086.0,18790.7,17416.6,239.1,18464.3,18703.3,19659.7,19898.7,15618.0
2017-02-07,18844.12,18970.58,18805.32,18910.78,19089.2,19149.0,19100.1,18822.4,17437.0,226.3,18470.2,18696.5,19601.5,19827.8,15673.0
2017-02-08,18951.16,19009.24,18875.57,19007.6,19016.9,19124.5,19116.3,18872.5,17456.7,211.3,18490.5,18701.8,19547.2,19758.5,15736.0
2017-02-09,18942.04,18991.23,18874.91,18907.67,18990.2,19098.5,19125.5,18900.9,17476.5,202.1,18492.1,18694.2,19502.8,19704.9,15783.0
2017-02-10,19216.74,19395.99,19193.57,19378.93,19036.3,19102.2,19147.7,18937.3,17498.3,206.7,18482.1,18688.8,19515.6,19722.3,15982.0
2017-02-13,19513.78,19519.44,19418.18,19459.15,19132.8,19106.7,19175.2,18969.8,17529.6,213.6,18465.9,18679.5,19533.9,19747.5,16170.0
2017-02-14,19478.86,19501.01,19232.85,19238.98,19198.5,19111.7,19195.6,18998.4,17556.9,215.5,18465.2,18680.7,19542.7,19758.2,16253.0
2017-02-15,19438.81,19495.62,19420.0,19437.98,19284.5,19118.8,19217.5,19025.1,17585.4,224.0,18446.9,18670.9,19566.7,19790.7,16422.0
2017-02-16,19431.61,19431.61,19260.24,19347.53,19372.5,19130.9,19231.1,19047.7,17611.7,229.3,18442.9,18672.2,19589.6,19818.9,16486.0
2017-02-17,19228.74,19275.39,19173.53,19234.62,19343.7,19150.9,19236.6,19067.2,17637.1,218.4,18495.8,18714.2,19587.6,19806.0,16422.0
2017-02-20,19161.33,19274.75,19115.11,19251.08,19302.0,19167.9,19238.8,19083.9,17661.9,211.2,18534.4,18745.6,19590.2,19801.4,16356.0
2017-02-21,19267.87,19395.35,19261.98,19381.44,19330.5,19182.6,19241.9,19102.0,17686.9,214.9,18537.9,18752.8,19612.4,19827.3,16384.0
2017-02-22,19419.22,19419.22,19329.28,19379.87,19318.9,19194.1,19244.8,19120.6,17712.7,218.8,18537.6,18756.4,19631.8,19850.6,16396.0
2017-02-23,19379.92,19379.92,19262.63,19371.46,19323.7,19217.0,19247.1,19140.0,17740.4,210.5,18585.4,18796.0,19638.0,19848.6,16318.0
2017-02-24,19232.11,19381.1,19219.58,19283.54,19333.5,19240.6,19244.4,19157.7,17768.2,186.4,18681.3,18867.8,19613.4,19799.9,16199.0
2017-02-27,19130.51,19178.99,18995.55,19107.47,19304.8,19243.0,19237.7,19168.5,17796.0,184.3,18690.2,18874.5,19611.5,19795.8,16062.0
2017-02-28,19194.68,19267.99,19118.99,19118.99,19252.3,19229.5,19229.0,19181.1,17816.1,182.4,18682.4,18864.7,19594.3,19776.6,16132.0
2017-03-01,19226.94,19414.55,19164.62,19393.54,19255.0,19226.0,19227.8,19201.5,17837.0,178.2,18691.3,18869.5,19582.5,19760.7,16377.0
2017-03-02,19624.82,19668.01,19564.8,19564.8,19293.7,19235.3,19231.0,19223.4,17858.3,190.8,18663.0,18853.8,19616.8,19807.6,16532.0
2017-03-03,19551.34,19587.79,19392.75,19469.17,19330.8,19255.7,19232.7,19241.0,17877.3,191.9,18680.1,18872.0,19639.4,19831.3,16549.0
2017-03-09,19343.06,19350.2,19262.98,19318.58,19373.0,19263.8,19230.7,19251.1,17895.6,190.7,18691.7,18882.4,19645.2,19835.9,16494.0
2017-03-10,19444.71,19623.72,19427.81,19604.61,19470.1,19293.7,19235.5,19262.2,17915.0,192.6,18715.8,18908.4,19679.0,19871.6,16499.0
2017-03-13,19545.74,19656.48,19531.51,19633.75,19518.2,19328.1,19246.8,19270.9,17935.9,185.2,18772.4,18957.6,19698.6,19883.8,16501.0
2017-03-14,19634.29,19637.55,19599.62,19609.5,19527.1,19356.8,19247.2,19277.4,17956.7,179.6,18817.9,18997.5,19716.1,19895.7,16501.0
2017-03-15,19528.75,19581.53,19503.74,19577.38,19548.8,19388.7,19248.5,19283.3,17978.9,153.5,18928.3,19081.8,19695.6,19849.1,16494.0
2017-03-16,19458.7,19618.99,19454.17,19590.14,19603.1,19398.7,19251.7,19289.0,17999.2,159.6,18919.9,19079.5,19717.9,19877.5,16579.0
2017-03-17,19510.89,19547.51,19487.92,19521.59,19586.5,19401.7,19256.8,19291.2,18020.3,161.3,18917.7,19079.0,19724.4,19885.7,16670.0
2017-03-21,19416.55,19485.14,19337.22,19455.88,19550.9,19412.0,19258.9,19292.4,18040.4,157.3,18940.1,19097.4,19726.6,19883.9,16649.0
2017-03-22,19146.62,19183.27,19026.53,19041.38,19437.3,19393.2,19256.7,19284.1,18057.1,176.7,18863.2,19039.9,19746.5,19923.2,16465.0
2017-03-23,19048.84,19105.11,18973.75,19085.31,19338.9,19380.7,19252.0,19277.6,18075.8,188.9,18814.1,19002.9,19758.5,19947.3,16266.0
2017-03-24,19066.35,19296.05,19060.64,19262.53,19273.3,19382.0,19255.9,19274.6,18097.9,187.9,18818.3,19006.2,19757.8,19945.7,16129.0
2017-03-27,19071.19,19086.89,18932.09,18985.59,19166.1,19369.4,19259.9,19267.1,18116.8,205.3,18753.6,18958.9,19779.9,19985.2,15918.0
2017-03-28,19159.07,19203.64,19113.44,19202.87,19115.5,19360.9,19267.1,19263.5,18137.3,208.4,18735.6,18944.1,19777.7,19986.2,15826.0
2017-03-29,19216.78,19251.3,19164.61,19217.48,19150.8,19353.1,19270.5,19260.1,18155.1,210.7,18721.1,18931.7,19774.5,19985.1,15755.0
