0,1w2a,20180105,2036
104,2477,マザーズ,手間いらず(株),3825,8.36 %,295,198000,掲示板
105,5906,東証JQS,エムケー精工(株),484,8.28 %,37,184000,掲示板
106,9651,東証JQS,日本プロセス(株),996,8.26 %,76,1410200,掲示板
107,3277,東証1部,(株)サンセイランディック,1207,8.25 %,92,171400,掲示板
108,6762,東証1部,ＴＤＫ(株),9730,8.23 %,740,3377400,掲示板
109,5480,東証1部,日本冶金工業(株),263,8.23 %,20,11968100,掲示板
110,1358,東証ETF,上場インデックス日経レバレッジ指数,21340,8.16 %,1610,38944,掲示板
111,7735,東証1部,(株)ＳＣＲＥＥＮホールディングス,9970,8.13 %,750,1487600,掲示板
112,4579,東証JQG,ラクオリア創薬(株),2541,8.13 %,191,25531400,掲示板
113,8891,東証2部,(株)エムジーホーム,1265,8.12 %,95,49100,掲示板
114,5903,東証JQS,ＳＨＩＮＰＯ(株),1332,8.12 %,100,186100,掲示板
115,6026,マザーズ,ＧＭＯ　ＴＥＣＨ(株),2998,8.11 %,225,10500,掲示板
116,3679,マザーズ,(株)じげん,975,8.09 %,73,4462200,掲示板
117,6863,東証JQS,(株)ニレコ,1270,8.09 %,95,183700,掲示板
118,7189,東証1部,(株)西日本フィナンシャルホールディングス,1459,8.07 %,109,1134400,掲示板
119,4182,東証1部,三菱ガス化学(株),3495,8.04 %,260,1991600,掲示板
120,2388,東証JQG,(株)ウェッジホールディングス,350,8.02 %,26,495000,掲示板
121,9262,マザーズ,(株)シルバーライフ,4985,8.02 %,370,88300,掲示板
122,6890,東証JQS,(株)フェローテックホールディングス,2484,8.00 %,184,1619400,掲示板
123,9753,東証JQS,アイエックス・ナレッジ(株),570,7.95 %,42,393000,掲示板
124,6826,東証1部,本多通信工業(株),1272,7.89 %,93,416600,掲示板
125,1984,東証JQS,三信建設工業(株),485,7.78 %,35,12000,掲示板
126,7399,東証JQS,(株)ナンシン,695,7.75 %,50,72500,掲示板
127,5715,東証1部,古河機械金属(株),2491,7.74 %,179,923700,掲示板
128,7427,東証1部,エコートレーディング(株),783,7.70 %,56,165200,掲示板
129,7244,東証1部,市光工業(株),1080,7.68 %,77,939100,掲示板
130,6268,東証1部,ナブテスコ(株),4650,7.64 %,330,1820800,掲示板
131,6899,東証2部,ＡＳＴＩ(株),4655,7.63 %,330,99000,掲示板
132,3452,マザーズ,(株)ビーロット,5510,7.62 %,390,100200,掲示板
133,6982,東証2部,(株)リード,524,7.60 %,37,32600,掲示板
134,5406,東証1部,(株)神戸製鋼所,1124,7.56 %,79,26479000,掲示板
135,6384,東証JQS,(株)昭和真空,2548,7.56 %,179,279100,掲示板
136,6131,東証2部,浜井産業(株),172,7.50 %,12,2023000,掲示板
137,6758,東証1部,ソニー(株),5464,7.50 %,381,22224900,掲示板
138,8801,東証1部,三井不動産(株),2713,7.45 %,188,12336000,掲示板
139,2160,マザーズ,(株)ジーエヌアイグループ,637,7.42 %,44,13283000,掲示板
140,8061,東証1部,西華産業(株),3265,7.40 %,225,174900,掲示板
141,6327,東証JQS,北川精機(株),537,7.40 %,37,269300,掲示板
142,4004,東証1部,昭和電工(株),5170,7.37 %,355,4966900,掲示板
143,2195,東証JQG,アミタホールディングス(株),2625,7.36 %,180,10400,掲示板
144,1325,東証ETF,(NEXT FUNDS)ブラジル株式指数上場投信,219,7.35 %,15,396400,掲示板
145,7625,東証2部,(株)グローバルダイニング,365,7.35 %,25,604400,掲示板
146,5199,東証JQS,不二ラテックス(株),3165,7.32 %,216,14400,掲示板
147,8890,東証JQS,(株)レーサム,1568,7.32 %,107,763600,掲示板
148,3962,マザーズ,(株)チェンジ,7940,7.30 %,540,87800,掲示板
149,6976,東証1部,太陽誘電(株),1884,7.29 %,128,8283200,掲示板
150,8589,東証1部,(株)アプラスフィナンシャル,118,7.27 %,8,8494300,掲示板
