0,1d2a,20180202,1840,,,,
170,9282,東証,いちごグリーンインフラ投資法人,70100,2.79,1900,301
171,3480,東証2部,(株)ジェイ・エス・ビー,5600,2.75,150,10100
172,8586,東証1部,日立キャピタル(株),3180,2.75,85,592700
173,7726,東証2部,黒田精工(株),2960,2.74,79,114700
174,4107,東証2部,伊勢化学工業(株),715,2.73,19,212000
175,9691,東証JQS,(株)両毛システムズ,1882,2.73,50,10200
176,6319,東証1部,(株)シンニッタン,868,2.72,23,47200
177,2485,東証1部,(株)ティア,1175,2.71,31,47400
178,6747,東証2部,ＫＩホールディングス(株),610,2.69,16,443000
179,7758,東証2部,(株)セコニックホールディングス,1451,2.69,38,3200
180,9306,東証1部,東陽倉庫(株),349,2.65,9,68200
181,6201,東証1部,(株)豊田自動織機,7400,2.64,190,691200
182,7875,東証2部,竹田印刷(株),1126,2.64,29,26600
183,7521,東証JQS,(株)ムサシ,2000,2.62,51,7300
184,6322,東証2部,(株)タクミナ,1890,2.61,48,7500
185,8129,東証1部,東邦ホールディングス(株),2645,2.60,67,260000
186,8194,東証1部,(株)ライフコーポレーション,2930,2.59,74,73800
187,5964,東証2部,東洋刃物(株),1090,2.54,27,600
188,7537,東証1部,丸文(株),1252,2.54,31,270600
189,3804,東証JQS,(株)システム　ディ,1216,2.53,30,82500
190,2498,東証JQS,(株)ＡＣＫグループ,2073,2.52,51,8900
191,2768,東証1部,双日(株),366,2.52,9,18422500
192,3186,東証1部,(株)ネクステージ,1098,2.52,27,1171800
193,6995,東証1部,(株)東海理化,2443,2.52,60,732700
194,3556,マザーズ,リネットジャパングループ(株),615,2.50,15,292700
195,4369,東証1部,(株)トリケミカル研究所,5340,2.50,130,119900
196,6835,東証2部,アライドテレシスホールディングス(株),123,2.50,3,1674800
197,9853,東証JQS,(株)銀座ルノアール,1034,2.48,25,26300
198,6392,東証2部,(株)ヤマダコーポレーション,3320,2.47,80,10800
199,9014,東証1部,新京成電鉄(株),2244,2.47,54,28800
200,6073,東証1部,(株)アサンテ,1829,2.46,44,108100
201,7814,東証JQS,(株)日本創発グループ,968,2.43,23,26500
202,1841,東証JQS,サンユー建設(株),1185,2.42,28,1900
203,5344,東証1部,(株)ＭＡＲＵＷＡ,10140,2.42,240,220600
204,8920,東証1部,(株)東祥,4020,2.42,95,106500
205,1976,東証1部,明星工業(株),849,2.41,20,115900
206,4955,東証1部,アグロ　カネショウ(株),2425,2.41,57,16800
