Code,Name,Short Seller,Date,Ratio,Number,Prev. Date,Prev. Ratio
3556,リネットジャパングループ　普通株式,OXAM QUANT FUND LIMITED,2018-08-08,0.0053,47700,2018-08-07 00:00:00,0.0053
3558,ロコンド　普通株式,JPM Securities Japan Co Ltd.,2018-08-08,0.0095,104000,2018-08-06 00:00:00,0.0108
3565,アセンテック　普通株式,モルガン・スタンレーMUFG証券株式会社,2018-08-09,0.0231,76500,2018-07-23 00:00:00,0.022000000000000002
3611,マツオカコーポレーション　普通株式,野村證券株式会社,2018-08-08,0.0049,49800,2018-08-01 00:00:00,0.005
3623,ビリングシステム　普通株式,"Deutsche Bank Aktiengesellschaft, London 　ドイツ銀行ロンドン支店",2018-08-08,0.0068000000000000005,22500,2018-07-30 00:00:00,0.0074
3624,アクセルマーク　普通株式,JPM Securities Japan Co Ltd.,2018-08-08,0.012,58400,2018-08-07 00:00:00,0.0149
3624,アクセルマーク　普通株式,OXAM QUANT FUND LIMITED,2018-08-08,0.0052,25100,2018-08-07 00:00:00,0.0052
3625,テックファームホールディングス　普通株式,OXAM QUANT FUND LIMITED,2018-08-08,0.0112,86400,2018-08-07 00:00:00,0.0112
3627,ネオス　普通株式,GOLDMAN SACHS INTERNATIONAL,2018-08-08,0.0046,43800,2018-08-02 00:00:00,0.0053
3639,ボルテージ　普通株式,OXAM QUANT FUND LIMITED,2018-08-08,0.006999999999999999,36700,2018-08-07 00:00:00,0.006999999999999999
3646,駅探　普通株式,GOLDMAN SACHS INTERNATIONAL,2018-08-08,0.0073,50800,2018-08-01 00:00:00,0.006
3652,ディジタルメディアプロフェッショナル　普通株式,GOLDMAN SACHS INTERNATIONAL,2018-08-08,0.0199,56000,2018-08-07 00:00:00,0.02
3652,ディジタルメディアプロフェッショナル　普通株式,Nomura International plc,2018-08-08,0.08539999999999999,239500,2018-08-07 00:00:00,0.087
3652,ディジタルメディアプロフェッショナル　普通株式,モルガン・スタンレーMUFG証券株式会社,2018-08-09,0.0385,108100,2018-08-08 00:00:00,0.04190000000000001
3653,モルフォ　普通株式,"Deutsche Bank Aktiengesellschaft, London 　ドイツ銀行ロンドン支店",2018-08-08,0.0069,37200,2018-07-27 00:00:00,0.006999999999999999
3656,ＫＬａｂ　普通株式,A.R.T. International Holdings (BVI) Ltd.,2018-08-09,0.0056,213000,2018-08-08 00:00:00,0.004
3656,ＫＬａｂ　普通株式,Credit Suisse Securities (Europe) Limited,2018-08-08,0.0124,466468,2018-08-07 00:00:00,0.006999999999999999
3656,ＫＬａｂ　普通株式,Nomura International plc,2018-08-08,0.009899999999999999,372500,2018-08-07 00:00:00,0.0104
3657,ポールトゥウィン・ピットクルーホールディングス　普通株式,GOLDMAN SACHS INTERNATIONAL,2018-08-08,0.0059,112991,2018-08-06 00:00:00,0.004
3661,エムアップ　普通株式,Credit Suisse Securities (Europe) Limited,2018-08-08,0.0143,107100,2018-08-07 00:00:00,0.013000000000000001
3661,エムアップ　普通株式,"JANE STREET GLOBAL TRADING, LLC",2018-08-08,0.0079,59100,2018-08-03 00:00:00,0.0084
3661,エムアップ　普通株式,Nomura International plc,2018-08-08,0.0366,274000,2018-08-06 00:00:00,0.028399999999999998
3667,ｅｎｉｓｈ　普通株式,Nomura International plc,2018-08-08,0.0086,77600,2018-08-07 00:00:00,0.0108
3672,オルトプラス　普通株式,"Deutsche Bank Aktiengesellschaft, London 　ドイツ銀行ロンドン支店",2018-08-08,0.0095,129400,2018-08-07 00:00:00,0.0116
3672,オルトプラス　普通株式,JPM Securities Japan Co Ltd.,2018-08-08,0.015600000000000001,211500,2018-08-07 00:00:00,0.0179
3672,オルトプラス　普通株式,MERRILL LYNCH INTERNATIONAL,2018-08-08,0.0055,75700,2018-08-06 00:00:00,0.0054
3676,デジタルハーツホールディングス　普通株式,GOLDMAN SACHS INTERNATIONAL,2018-08-08,0.0089,213036,2018-08-07 00:00:00,0.009000000000000001
3680,ホットリンク　普通株式,モルガン・スタンレーMUFG証券株式会社,2018-08-09,0.0058,91100,2018-08-08 00:00:00,0.0044
3681,ブイキューブ　普通株式,OXAM QUANT FUND LIMITED,2018-08-08,0.0063,151300,2018-08-07 00:00:00,0.0063
3686,ディー・エル・イー　普通株式,MERRILL LYNCH INTERNATIONAL,2018-08-08,0.0067,136500,2018-08-07 00:00:00,0.0069
3686,ディー・エル・イー　普通株式,OXAM QUANT FUND LIMITED,2018-08-08,0.0116,235800,2018-08-07 00:00:00,0.0116
3687,フィックスターズ　普通株式,Credit Suisse Securities (Europe) Limited,2018-08-08,0.0049,167700,2018-07-31 00:00:00,0.0058
3691,リアルワールド　普通株式,OXAM QUANT FUND LIMITED,2018-08-08,0.006500000000000001,22400,2018-08-07 00:00:00,0.006500000000000001
3696,セレス　普通株式,"Deutsche Bank Aktiengesellschaft, London 　ドイツ銀行ロンドン支店",2018-08-08,0.0108,123600,2018-07-30 00:00:00,0.0111
3719,ジェクシード　普通株式,"Deutsche Bank Aktiengesellschaft, London 　ドイツ銀行ロンドン支店",2018-08-08,0.006,112700,2018-08-07 00:00:00,0.006999999999999999
3719,ジェクシード　普通株式,JPM Securities Japan Co Ltd.,2018-08-08,0.026699999999999998,495100,2018-08-06 00:00:00,0.0273
3719,ジェクシード　普通株式,OXAM QUANT FUND LIMITED,2018-08-08,0.005500000000000001,102200,2018-08-07 00:00:00,0.005500000000000001
3765,ガンホー・オンライン・エンターテイメント　普通株式,モルガン・スタンレーMUFG証券株式会社,2018-08-09,0.033,31473497,2018-08-06 00:00:00,0.0325
3766,システムズ・デザイン　普通株式,JPM Securities Japan Co Ltd.,2018-08-08,0.0158,62600,2018-07-24 00:00:00,0.0172
