STUDENT_TYPE,6,専攻生,専攻生, 
STUDENT_TYPE,7,選科生,選科生, 
STUDENT_TYPE,8,学部聴講生,学部聴講生, 
STUDENT_TYPE,9,学部特別聴講学生,学部特別聴講, 
STUDENT_TYPE,10,学部その他,学部その他, 
STUDENT_TYPE,11,修士課程,修士課程, 
STUDENT_TYPE,12,博士課程,博士課程, 
STUDENT_TYPE,13,大学院研究生,院研究生, 
STUDENT_TYPE,14,大学院聴講生,院聴講生, 
STUDENT_TYPE,15,大学院特別研究学生,院特別研究, 
STUDENT_TYPE,16,大学院その他,院その他, 
STUDENT_TYPE,17,博士前期課程,博士前期, 
STUDENT_TYPE,18,博士後期課程,博士後期, 
STUDENT_TYPE,19,大学院特別聴講学生,院特別聴講, 
STUDENT_TYPE,21,学部科目等履修生,学部科目等履修, 
STUDENT_TYPE,31,大学院科目等履修生,院科目等履修, 
ENTRANCE_EXAM,1,推薦入学,推薦入学, 
ENTRANCE_EXAM,10,二次学力,二次学力, 
ENTRANCE_EXAM,11,前期日程,前期日程, 
ENTRANCE_EXAM,12,後期日程,後期日程, 
ENTRANCE_EXAM,21,帰国子女入学,帰国子女, 
ENTRANCE_EXAM,22,社会人入学,社会人入学, 
ENTRANCE_EXAM,23,私費外国人留学生入学,留学生(私費), 
ENTRANCE_EXAM,31,第二次募集入学,第二次募集, 
ENTRANCE_EXAM,41,編入学,編入学, 
ENTRANCE_EXAM,51,国費外国人留学生入学,留学生(国費), 
ENTRANCE_EXAM,52,転入学,転入学, 
ENTRANCE_EXAM,53,再入学,再入学, 
ENTRANCE_EXAM,54,学士入学,学士入学, 
ENTRANCE_EXAM,71,博士前期課程,博士前期, 
ENTRANCE_EXAM,72,博士後期課程,博士後期, 
ENTRANCE_EXAM,81,修士課程,修士課程, 
GUARANTOR_TYPE,1,本人,本人, 
GUARANTOR_TYPE,2,世帯主,世帯主, 
GUARANTOR_TYPE,3,準世帯主,準世帯主, 
GUARANTOR_TYPE,9,世帯員,世帯員, 
GUARANTOR_TYPE,10,配偶者,配偶者, 
GUARANTOR_TYPE,11,夫,夫, 
GUARANTOR_TYPE,12,妻,妻, 
GUARANTOR_TYPE,20,子(男),子(男), 
GUARANTOR_TYPE,21,長男,長男, 
GUARANTOR_TYPE,22,二男,二男, 
GUARANTOR_TYPE,23,三男,三男, 
GUARANTOR_TYPE,24,四男,四男, 
GUARANTOR_TYPE,30,子(女),子(女), 
GUARANTOR_TYPE,31,長女,長女, 
GUARANTOR_TYPE,32,二女,二女, 
GUARANTOR_TYPE,33,三女,三女, 
GUARANTOR_TYPE,34,四女,四女, 
GUARANTOR_TYPE,41,孫,孫, 
GUARANTOR_TYPE,50,父母,父母, 
GUARANTOR_TYPE,51,父,父, 
GUARANTOR_TYPE,52,母,母, 
GUARANTOR_TYPE,53,養父,養父, 
GUARANTOR_TYPE,54,養母,養母, 
GUARANTOR_TYPE,61,祖父母,祖父母, 
GUARANTOR_TYPE,62,祖父,祖父, 
GUARANTOR_TYPE,63,祖母,祖母, 
GUARANTOR_TYPE,70,兄弟,兄弟, 
GUARANTOR_TYPE,71,兄,兄, 
GUARANTOR_TYPE,74,弟,弟, 
GUARANTOR_TYPE,80,姉妹,姉妹, 
GUARANTOR_TYPE,81,姉,姉, 
GUARANTOR_TYPE,82,妹,妹, 
GUARANTOR_TYPE,90,その他,その他, 
GUARANTOR_TYPE,91,叔父,叔父, 
GUARANTOR_TYPE,92,叔母,叔母, 
KUBUN_CODE,111,一般教育科目（人文）,一般人文, 
KUBUN_CODE,112,一般教育科目（社会）,一般社会, 
KUBUN_CODE,113,一般教育科目（自然）,一般自然, 
KUBUN_CODE,221,外国語科目（英語）,英語, 
KUBUN_CODE,222,外国語科目（ドイツ語）,独語, 
KUBUN_CODE,331,保健体育科目（講義）,保健講義, 
KUBUN_CODE,332,保健体育科目（実技）,体育実技, 
KUBUN_CODE,440,人間科学科目(人間情報科目),人間情報科目, 
KUBUN_CODE,441,人間科学科目(人間科目認定),人間科目認定, 
KUBUN_CODE,444,人間科学科目(人文社会系入門),人文社会入門, 
KUBUN_CODE,445,人間科学科目(人文社会系講義),人文社会講義, 
KUBUN_CODE,446,人間科学科目(言語系英語),言語系英語, 
KUBUN_CODE,447,人間科学科目(言語系語学),言語系語学, 
KUBUN_CODE,448,人間科学科目(健康系科目),健康科学, 
KUBUN_CODE,449,人間科学科目(総合科目),総合科目, 
KUBUN_CODE,450,人間科学科目,人間科学科目, 
KUBUN_CODE,543,自専攻科目,(院)自専攻, 
KUBUN_CODE,550,情報共通科目,情報共通, 
KUBUN_CODE,552,基礎共通科目,基礎共通, 
KUBUN_CODE,557,学科専門科目,学部専門, 
KUBUN_CODE,558,専攻専門科目,(院)専門, 
KUBUN_CODE,559,各専攻共通科目,(院)専攻共通, 
KUBUN_CODE,560,特別講究,(院)特別講究, 
KUBUN_CODE,562,他学科/他専攻科目,他学科/他専攻, 
KUBUN_CODE,563,イミグラント科目,イミグラント, 
KUBUN_CODE,565,他研究科科目,他研究科科目, 
KUBUN_CODE,567,他大学院科目,他大学院科目, 
KUBUN_CODE,568,大学院講究,(院)講究, 
KUBUN_CODE,569,特別実験・演習,(院)特別演習, 
KUBUN_CODE,582,プロジェクト研究,(院)プロジェクト, 
