区分,学生番号,枝番,日付,時刻,端末番号
01,222C2059,1,20231023,124407,029
01,222C2079,1,20231023,124938,029
01,222C2075,1,20231023,124940,029
01,222C2084,1,20231023,124135,029
01,222C2015,2,20231023,124643,029
01,222C2029,1,20231023,124705,029
01,212C2033,1,20231023,124345,029
01,222C2071,1,20231023,124454,029
01,222C2047,1,20231023,125209,029
01,222C2054,1,20231023,125245,029
01,222C2028,1,20231023,124412,029
01,222C2021,1,20231023,124557,029
01,222C2079,1,20231023,124935,029
01,222C2036,1,20231023,125300,029
01,222C2014,1,20231023,124331,029
01,212C2018,1,20231023,124515,029
01,222C2083,1,20231023,124947,029
01,222C2069,1,20231023,124405,029
01,222C2074,1,20231023,124708,029
01,212C2039,1,20231023,125538,029
01,222C2011,1,20231023,124418,029
01,222C2050,1,20231023,125225,029
01,182C2046,2,20231024,102852,029
01,212C3051,1,20231024,102027,029
01,212C2071,1,20231024,102143,029
01,212C3002,1,20231024,102826,029
01,23225205,1,20231024,102024,029
02,236E0012,1,20231024,125619,029
02,236E0021,1,20231024,125622,029
01,202C1059,1,20231024,125629,029
01,232C1165,1,20231025,125023,029
01,232C1037,1,20231025,125047,029
01,232C1003,1,20231025,125056,029
01,232C1085,1,20231025,125100,029
01,232C1117,1,20231025,125103,029
01,232C1125,1,20231025,125040,029
01,232C1123,1,20231025,125300,029
01,232C1161,1,20231025,124827,029
01,232C1135,1,20231025,125029,029
01,232C1093,1,20231025,125038,029
01,232C1031,1,20231025,125053,029
01,232C1129,1,20231025,125219,029
01,232C1159,1,20231025,125240,029
01,232C1049,1,20231025,124733,029
01,232C1163,1,20231025,125115,029
01,232C1091,1,20231025,125143,029
01,232C1001,1,20231025,125258,029
01,212C2071,1,20231026,102047,029
01,182C2046,2,20231026,102849,029
01,212C3051,1,20231026,102158,029
02,236E0014,1,20231026,161402,029
02,236E0064,1,20231026,161201,029
02,236E0502,1,20231026,161212,029
02,236E0502,1,20231026,161216,029
02,236E0012,1,20231026,161907,029
02,236E0021,1,20231026,161909,029
02,236E0021,1,20231026,161913,029
01,232C1161,1,20231027,124943,029
01,232C1031,1,20231027,125306,029
01,232C1171,1,20231027,124143,029
01,232C1143,1,20231027,125049,029
01,232C1063,1,20231027,125054,029
01,232C1149,1,20231027,125107,029
01,232C1087,1,20231027,125219,029
01,232C1153,1,20231027,124140,029
01,232C1115,1,20231027,124807,029
01,232C1049,1,20231027,124828,029
01,232C1017,1,20231027,125053,029
01,232C1125,1,20231027,125249,029
01,232C1081,1,20231027,124156,029
01,232C1009,1,20231027,124642,029
01,232C1159,1,20231027,125114,029
01,232C1175,1,20231027,125130,029
01,232C1135,1,20231027,125146,029
01,232C1037,1,20231027,125303,029
01,232C1075,1,20231027,124653,029
01,232C1021,1,20231027,125058,029
01,232C1117,1,20231027,125237,029
01,232C1165,1,20231027,125253,029
01,232C1011,1,20231027,124656,029
01,232C1157,1,20231027,124833,029
01,232C1163,1,20231027,125105,029
01,232C1051,1,20231027,124227,029
01,182C2046,2,20231031,102859,029
01,212C3051,1,20231031,102042,029
01,212C2071,1,20231031,102046,029
01,212C3069,1,20231031,102107,029
01,212C3002,1,20231031,102918,029
02,236E0064,1,20231031,125212,029
02,236E0012,1,20231031,125543,029
02,236E0502,1,20231031,125131,029
02,236E0021,1,20231031,125541,029
01,222C2101,1,20231101,102054,029
01,222C2073,1,20231101,102132,029
01,222C2010,1,20231101,102520,029
01,222C2056,1,20231101,102415,029
01,222C2023,1,20231101,102523,029
01,222C2100,1,20231101,102038,029
01,222C2030,1,20231101,102527,029
01,222C2035,1,20231101,102150,029
01,222C2011,1,20231101,102617,029
01,222C2047,1,20231101,102620,029
01,222C2014,1,20231101,102031,029
01,232C1087,1,20231101,124913,029
01,232C1093,1,20231101,125041,029
01,232C1171,1,20231101,125057,029
01,232C1039,1,20231101,125311,029
01,232C1051,1,20231101,125353,029
01,232C1175,1,20231101,125104,029
01,232C1159,1,20231101,125238,029
01,232C1153,1,20231101,125427,029
01,232C1153,1,20231101,130002,029
01,232C1049,1,20231101,124601,029
01,232C1157,1,20231101,124606,029
01,232C1035,1,20231101,124743,029
01,232C1149,1,20231101,125052,029
01,232C1163,1,20231101,125227,029
01,232C1181,1,20231101,125252,029
01,232C1031,1,20231101,125255,029
01,232C1037,1,20231101,125257,029
01,232C1123,1,20231101,125302,029
01,232C1087,1,20231101,125332,029
01,232C1161,1,20231101,124647,029
01,232C1001,1,20231101,125305,029
01,232C1125,1,20231101,125523,029
01,232C1165,1,20231101,125653,029
01,212C3013,1,20231102,102031,029
