date,code,open,high,low,close,sma 8,sma 21,sma 34,sma 89,sma 233,stddev,-3s,-2s,+2s,+3s,RCI
2016-02-26,998405,1320.14,1330.23,1310.64,1311.27,1297.5,1334.2,1354.9,1369.1,1369.1,68.7,1128.1,1196.8,1471.6,1540.3,-64.9
2016-02-29,998405,1325.63,1333.11,1297.85,1297.85,1299.4,1329.7,1350.5,1367.3,1367.3,67.8,1126.3,1194.1,1465.3,1533.1,-58.1
2016-03-01,998405,1295.16,1304.7,1284.5,1300.83,1298.1,1323.5,1347.5,1365.6,1365.6,63.8,1132.0,1195.8,1451.2,1515.0,-48.3
2016-03-02,998405,1325.53,1354.67,1325.06,1349.61,1305.4,1318.1,1344.8,1365.2,1365.2,55.8,1150.8,1206.6,1429.6,1485.4,-32.7
2016-03-03,998405,1348.32,1370.0,1348.01,1369.05,1314.0,1314.1,1343.7,1365.3,1365.3,48.2,1169.4,1217.6,1410.6,1458.8,-12.7
2016-03-04,998405,1366.73,1376.25,1360.89,1375.35,1324.5,1312.6,1342.9,1365.6,1365.6,45.7,1175.6,1221.2,1404.0,1449.6,9.6
2016-03-07,998405,1373.78,1373.85,1360.86,1361.9,1334.2,1311.4,1342.1,1365.5,1365.5,43.8,1180.1,1223.8,1399.0,1442.7,31.4
2016-03-08,998405,1357.78,1361.54,1330.58,1347.72,1339.2,1310.4,1340.8,1365.1,1365.1,42.6,1182.6,1225.2,1395.6,1438.2,49.9
2016-03-09,998405,1334.89,1338.15,1322.14,1332.33,1341.8,1308.1,1340.6,1364.4,1364.4,39.9,1188.5,1228.4,1387.8,1427.7,75.2
2016-03-10,998405,1344.95,1355.09,1337.03,1352.17,1348.6,1310.3,1342.1,1364.1,1364.1,41.0,1187.3,1228.3,1392.3,1433.3,83.5
2016-03-11,998405,1334.71,1364.5,1331.63,1359.32,1355.9,1314.8,1341.7,1364.0,1364.0,40.9,1192.0,1232.9,1396.7,1437.6,81.7
2016-03-14,998405,1375.61,1384.35,1371.96,1379.95,1359.7,1323.6,1341.3,1364.3,1364.3,33.2,1223.9,1257.1,1390.1,1423.3,81.7
2016-03-15,998405,1377.54,1383.43,1365.87,1372.08,1360.1,1327.4,1341.7,1364.5,1364.5,34.0,1225.3,1259.3,1395.5,1429.5,83.1
2016-03-16,998405,1361.83,1373.31,1360.05,1360.5,1358.2,1330.4,1340.5,1364.4,1364.4,34.0,1228.4,1262.4,1398.4,1432.4,81.6
2016-03-17,998405,1369.38,1380.98,1348.6,1358.97,1357.9,1334.1,1339.5,1364.3,1364.3,32.7,1236.0,1268.7,1399.5,1432.2,76.8
2016-03-18,998405,1354.55,1359.83,1335.34,1345.05,1357.5,1335.7,1337.0,1363.9,1363.9,32.3,1238.7,1271.0,1400.4,1432.7,71.4
2016-03-22,998405,1359.99,1374.97,1354.57,1369.93,1362.2,1339.4,1334.2,1364.1,1364.1,31.5,1244.8,1276.4,1402.4,1434.0,69.5
2016-03-23,998405,1371.29,1378.25,1361.86,1364.2,1363.8,1342.4,1331.6,1364.1,1364.1,30.6,1250.6,1281.2,1403.6,1434.2,65.7
2016-03-24,998405,1360.07,1365.04,1348.88,1354.61,1363.2,1345.5,1330.1,1363.9,1363.9,28.3,1260.5,1288.8,1402.2,1430.5,56.5
2016-03-25,998405,1357.37,1368.22,1352.78,1366.05,1361.4,1349.3,1329.5,1363.9,1363.9,25.0,1274.4,1299.4,1399.2,1424.2,50.4
2016-03-28,998405,1375.16,1381.85,1364.8,1381.85,1362.6,1352.9,1329.8,1364.2,1364.2,24.0,1280.9,1304.9,1400.9,1424.9,51.0
2016-03-29,998405,1367.86,1380.41,1367.86,1377.6,1364.8,1356.0,1329.8,1364.5,1364.5,22.6,1288.3,1310.9,1401.1,1423.7,50.0
2016-03-30,998405,1373.18,1374.84,1356.09,1356.29,1364.4,1358.8,1331.3,1364.3,1364.3,18.2,1304.2,1322.4,1395.2,1413.4,34.7
2016-03-31,998405,1363.12,1367.88,1346.83,1347.2,1364.7,1361.0,1333.7,1364.0,1364.0,12.8,1322.5,1335.3,1386.7,1399.5,10.4
2016-04-01,998405,1343.24,1343.24,1298.48,1301.4,1356.2,1358.7,1336.8,1363.0,1363.0,18.2,1304.1,1322.3,1395.1,1413.3,-11.6
2016-04-04,998405,1296.78,1313.96,1292.59,1302.71,1348.5,1355.6,1337.1,1362.1,1362.1,21.7,1290.4,1312.2,1399.0,1420.8,-19.4
2016-04-05,998405,1295.21,1298.04,1266.77,1268.37,1337.7,1350.5,1336.3,1360.6,1360.6,28.4,1265.4,1293.7,1407.3,1435.6,-24.2
2016-04-06,998405,1266.19,1274.56,1256.31,1267.75,1325.4,1346.0,1335.8,1359.2,1359.2,33.5,1245.6,1279.1,1412.9,1446.4,-33.8
2016-04-07,998405,1267.33,1281.37,1261.36,1272.64,1311.7,1342.4,1334.7,1357.9,1357.9,37.1,1231.1,1268.2,1416.6,1453.7,-47.8
2016-04-08,998405,1255.07,1303.13,1250.77,1287.69,1300.5,1340.3,1334.6,1356.8,1356.8,38.9,1223.5,1262.4,1418.2,1457.1,-62.6
2016-04-11,998405,1281.64,1282.67,1263.25,1279.79,1290.9,1336.9,1334.0,1355.7,1355.7,41.0,1214.0,1254.9,1418.9,1459.8,-72.5
2016-04-12,998405,1278.26,1302.62,1277.25,1299.35,1285.0,1334.0,1334.2,1354.9,1354.9,41.4,1209.7,1251.2,1416.8,1458.3,-76.9
2016-04-13,998405,1316.03,1334.9,1314.17,1332.44,1288.8,1331.7,1335.6,1354.6,1354.6,40.1,1211.5,1251.6,1411.8,1451.9,-73.4
2016-04-14,998405,1352.03,1371.35,1349.96,1371.35,1297.4,1331.7,1337.5,1354.8,1354.8,40.0,1211.6,1251.7,1411.7,1451.8,-51.6
2016-04-15,998405,1353.48,1368.22,1353.48,1361.4,1309.1,1331.7,1339.0,1354.9,1354.9,40.1,1211.5,1251.6,1411.8,1451.9,-40.6
2016-04-18,998405,1334.49,1335.26,1313.35,1320.15,1315.6,1329.9,1339.6,1354.4,1354.4,39.6,1211.0,1250.6,1409.2,1448.8,-40.9
2016-04-19,998405,1345.02,1365.9,1343.65,1363.03,1326.9,1330.8,1341.5,1354.5,1354.5,40.2,1210.3,1250.5,1411.1,1451.3,-34.8
2016-04-20,998405,1375.11,1380.49,1363.38,1365.78,1336.7,1330.6,1341.9,1354.7,1354.7,40.0,1210.7,1250.7,1410.5,1450.5,-18.1
2016-04-21,998405,1386.76,1394.22,1381.25,1393.68,1350.9,1332.0,1342.7,1355.2,1355.2,41.7,1206.9,1248.6,1415.4,1457.1,3.4
2016-04-22,998405,1380.92,1407.99,1379.46,1407.5,1364.4,1334.5,1343.6,1355.9,1355.9,44.6,1200.6,1245.2,1423.8,1468.4,17.9
2016-04-25,998405,1412.8,1412.98,1398.0,1401.83,1373.1,1336.2,1344.8,1356.5,1356.5,46.5,1196.6,1243.1,1429.3,1475.8,37.8
2016-04-26,998405,1394.51,1397.8,1379.51,1391.69,1375.6,1336.6,1346.1,1356.9,1356.9,47.1,1195.4,1242.5,1430.7,1477.8,56.9
