code,date,open,high,low,close
998405.T,2016/08/29,1309.17,1341.51,1307.88,1340.76
998405.T,2016/09/05,1357.01,1357.41,1337.36,1343.86
998405.T,2016/09/12,1325.33,1330.46,1296.39,1311.5
998405.T,2016/09/20,1305.17,1353.52,1304.75,1349.56
998405.T,2016/09/26,1347.14,1349.22,1313.77,1322.78
998405.T,2016/10/03,1332.14,1360.2,1329.06,1350.61
998405.T,2016/10/11,1353.9,1362.33,1337.15,1347.19
998405.T,2016/10/17,1346.24,1373.18,1344.46,1365.29
998405.T,2016/10/24,1366.62,1392.75,1361.51,1392.41
998405.T,2016/10/31,1387.32,1394.92,1337.62,1347.04
998405.T,2016/11/07,1363.89,1398.99,1287.39,1378.28
998405.T,2016/11/14,1386.96,1435.9,1385.97,1428.46
998405.T,2016/11/21,1435.49,1472.63,1433.06,1464.53
998405.T,2016/11/28,1457.89,1498.74,1456.76,1477.98
998405.T,2016/12/05,1470.42,1526.97,1462.07,1525.36
998405.T,2016/12/12,1537.9,1555.04,1520.23,1550.67
998405.T,2016/12/19,1546.09,1558.75,1535.82,1543.82
998405.T,2016/12/26,1540.98,1544.83,1508.01,1518.61
998405.T,2017/01/04,1533.04,1558.45,1532.56,1553.32
998405.T,2017/01/10,1550.67,1557.67,1528.5,1544.89
998405.T,2017/01/16,1540.64,1543.72,1495.03,1533.46
998405.T,2017/01/23,1519.27,1553.28,1504.31,1549.25
998405.T,2017/01/30,1542.62,1543.99,1507.08,1514.99
998405.T,2017/02/06,1528.89,1547.59,1509.2,1546.56
998405.T,2017/02/13,1558.72,1559.22,1537.73,1544.54
998405.T,2017/02/20,1540.04,1559.51,1535.92,1550.14
998405.T,2017/02/27,1537.75,1575.21,1525.16,1558.05
998405.T,2017/03/06,1554.2,1574.87,1544.89,1574.01
998405.T,2017/03/13,1570.33,1578.51,1560.82,1565.85
998405.T,2017/03/21,1560.62,1565.92,1523.11,1543.92
998405.T,2017/03/27,1529.26,1545.6,1512.6,1512.6
998405.T,2017/04/03,1518.9,1523.59,1476.77,1489.77
998405.T,2017/04/10,1500.55,1503.7,1456.18,1459.07
998405.T,2017/04/17,1452.15,1491.24,1452.15,1488.58
998405.T,2017/04/24,1507.8,1538.89,1500.88,1531.8
998405.T,2017/05/01,1531.45,1552.83,1530.31,1550.3
998405.T,2017/05/08,1569.15,1588.84,1568.83,1580.71
998405.T,2017/05/15,1572.11,1590.7,1547.99,1559.73
998405.T,2017/05/22,1566.64,1582.66,1562.05,1569.42
998405.T,2017/05/29,1569.93,1613.18,1562.78,1612.2
998405.T,2017/06/05,1605.39,1612.91,1585.22,1591.66
998405.T,2017/06/12,1588.35,1602.91,1581.68,1596.04
998405.T,2017/06/19,1597.21,1625.05,1596.09,1611.34
998405.T,2017/06/26,1611.29,1627.54,1604.82,1611.9
998405.T,2017/07/03,1613.65,1625.87,1602.47,1607.06
998405.T,2017/07/10,1617.38,1628.61,1611.54,1625.48
998405.T,2017/07/18,1621.21,1634.96,1610.79,1629.99
998405.T,2017/07/24,1619.23,1636.53,1613.08,1621.22
998405.T,2017/07/31,1618.99,1638.61,1616.49,1631.45
998405.T,2017/08/07,1640.47,1642.34,1610.46,1617.25
998405.T,2017/08/14,1602.18,1622.26,1592.23,1597.36
998405.T,2017/08/21,1601.02,1611.06,1592.2,1596.99
998405.T,2017/08/28,1600.7,1624.37,1589.05,1619.59
998405.T,2017/09/04,1613.59,1616.04,1578.66,1593.54
998405.T,2017/09/11,1607.69,1642.56,1606.98,1638.94
998405.T,2017/09/19,1655.89,1679.83,1654.96,1664.61
998405.T,2017/09/25,1674.33,1676.92,1658.9,1674.75
998405.T,2017/10/02,1677.77,1690.7,1671.05,1687.16
998405.T,2017/10/10,1684.66,1713.65,1683.93,1708.62
998405.T,2017/10/16,1713.33,1733.77,1711.37,1730.64
998405.T,2017/10/23,1747.73,1771.65,1741.78,1771.05
998405.T,2017/10/30,1770.94,1794.38,1758.81,1794.08
998405.T,2017/11/06,1798.02,1844.05,1784.36,1800.44
998405.T,2017/11/13,1798.04,1798.04,1737.72,1763.76
998405.T,2017/11/20,1756.38,1785.19,1753.88,1780.56
998405.T,2017/11/27,1787.94,1807.86,1767.11,1796.53
998405.T,2017/12/04,1801.5,1803.84,1761.18,1803.73
998405.T,2017/12/11,1809.16,1820.86,1787.04,1793.47
998405.T,2017/12/18,1807.5,1830.13,1806.03,1829.08
998405.T,2017/12/25,1830.79,1833.28,1815.96,1817.56
998405.T,2018/01/04,1841.2,1880.34,1840.4,1880.34
998405.T,2018/01/09,1895.08,1895.26,1872.86,1876.24
998405.T,2018/01/15,1888.63,1906.39,1874.78,1889.74
998405.T,2018/01/22,1890.78,1911.31,1878.89,1879.39
998405.T,2018/01/29,1881.38,1889.11,1836.68,1864.2
998405.T,2018/02/05,1837.56,1842.17,1707.07,1731.97
998405.T,2018/02/13,1751.23,1751.23,1691.65,1737.37
998405.T,2018/02/19,1753.15,1775.15,1737.58,1760.53
998405.T,2018/02/26,1774.76,1794.92,1700.65,1708.34
998405.T,2018/03/05,1697.11,1741.16,1687.29,1715.48
998405.T,2018/03/12,1740.67,1751.03,1727.44,1736.63
998405.T,2018/03/19,1729.6,1735.12,1661.23,1664.94
998405.T,2018/03/26,1649.6,1721.04,1645.16,1716.3
998405.T,2018/04/02,1716.32,1732.32,1687.0,1719.3
998405.T,2018/04/09,1716.28,1742.4,1715.55,1729.36
998405.T,2018/04/16,1732.09,1761.61,1726.68,1751.13
998405.T,2018/04/23,1753.16,1780.38,1749.04,1777.23
998405.T,2018/05/01,1774.36,1776.89,1767.57,1771.52
998405.T,2018/05/07,1774.26,1795.55,1764.11,1794.96
998405.T,2018/05/14,1792.95,1816.44,1791.59,1815.25
998405.T,2018/05/21,1815.23,1819.74,1766.56,1771.7
998405.T,2018/05/28,1771.5,1775.76,1731.28,1749.17
998405.T,2018/06/04,1765.77,1792.43,1764.22,1781.44
998405.T,2018/06/11,1781.46,1802.94,1778.62,1789.04
998405.T,2018/06/18,1784.37,1784.37,1728.49,1744.83
998405.T,2018/06/25,1747.84,1748.16,1711.75,1730.89
998405.T,2018/07/02,1725.55,1730.03,1671.95,1691.54
998405.T,2018/07/09,1697.06,1734.22,1688.36,1730.07
998405.T,2018/07/17,1734.56,1761.24,1731.84,1744.98
998405.T,2018/07/23,1736.1,1775.76,1735.74,1775.76
998405.T,2018/07/30,1770.48,1774.34,1740.93,1742.58
998405.T,2018/08/06,1742.97,1756.31,1718.47,1720.16
998405.T,2018/08/13,1706.72,1714.92,1667.95,1697.53
998405.T,2018/08/20,1692.74,1709.36,1679.95,1709.2
998405.T,2018/08/27,1716.8,1749.72,1715.24,1735.35
998405.T,2018/09/03,1730.77,1731.86,1673.92,1684.31
998405.T,2018/09/10,1680.36,1730.27,1679.88,1728.61
998405.T,2018/09/18,1725.88,1807.67,1725.64,1804.02
998405.T,2018/09/25,1805.71,1828.23,1799.5,1817.25
998405.T,2018/10/01,1814.05,1838.3,1788.64,1792.65
998405.T,2018/10/09,1777.96,1779.33,1687.18,1702.45
998405.T,2018/10/15,1690.73,1718.88,1672.02,1692.85
998405.T,2018/10/22,1680.61,1700.26,1581.56,1596.01
