code,date,open,high,low,close
998405,2016/09/08,1346.33,1348.29,1337.36,1345.95
998405,2016/09/09,1345.45,1349.57,1340.64,1343.86
998405,2016/09/12,1325.33,1329.67,1316.68,1323.1
998405,2016/09/13,1328.32,1330.46,1317.74,1322.99
998405,2016/09/14,1314.43,1320.85,1312.86,1314.74
998405,2016/09/15,1306.54,1307.41,1296.39,1301.11
998405,2016/09/16,1304.75,1313.24,1302.01,1311.5
998405,2016/09/20,1305.17,1323.98,1304.75,1316.97
998405,2016/09/21,1316.64,1353.52,1309.51,1352.67
998405,2016/09/23,1347.85,1351.08,1341.53,1349.56
998405,2016/09/26,1347.14,1347.45,1333.65,1335.84
998405,2016/09/27,1321.37,1349.22,1313.77,1349.22
998405,2016/09/28,1333.77,1337.03,1324.4,1330.77
998405,2016/09/29,1340.62,1347.93,1337.81,1343.25
998405,2016/09/30,1323.23,1328.65,1315.86,1322.78
998405,2016/10/03,1332.14,1338.34,1329.06,1330.72
998405,2016/10/04,1334.1,1341.05,1332.63,1340.21
998405,2016/10/05,1345.24,1349.81,1340.62,1347.81
998405,2016/10/06,1355.44,1360.2,1353.02,1353.93
998405,2016/10/07,1352.9,1354.01,1345.8,1350.61
998405,2016/10/11,1353.9,1362.33,1353.29,1356.35
998405,2016/10/12,1342.52,1352.28,1342.19,1342.35
998405,2016/10/13,1348.21,1353.97,1337.15,1342.31
998405,2016/10/14,1341.14,1348.14,1337.92,1347.19
998405,2016/10/17,1346.24,1354.93,1344.46,1352.56
998405,2016/10/18,1350.06,1356.65,1347.47,1356.57
998405,2016/10/19,1355.6,1359.01,1353.33,1357.2
998405,2016/10/20,1356.27,1370.8,1355.44,1370.8
998405,2016/10/21,1372.64,1373.18,1362.95,1365.29
998405,2016/10/24,1366.62,1368.7,1361.51,1367.61
998405,2016/10/25,1372.45,1378.96,1372.0,1377.32
998405,2016/10/26,1375.49,1382.79,1372.77,1382.7
998405,2016/10/27,1381.1,1387.85,1377.65,1382.01
998405,2016/10/28,1389.8,1392.75,1386.77,1392.41
998405,2016/10/31,1387.32,1393.44,1385.2,1393.02
998405,2016/11/01,1391.97,1394.92,1384.45,1393.19
998405,2016/11/02,1376.68,1377.61,1363.02,1368.44
998405,2016/11/04,1353.8,1355.49,1337.62,1347.04
998405,2016/11/07,1363.89,1367.28,1356.05,1362.8
998405,2016/11/08,1367.57,1369.04,1360.1,1363.49
998405,2016/11/09,1372.34,1382.03,1287.39,1301.16
998405,2016/11/10,1326.85,1379.39,1326.5,1376.35
998405,2016/11/11,1387.48,1398.99,1373.35,1378.28
998405,2016/11/14,1386.96,1401.71,1385.97,1400.0
998405,2016/11/15,1403.09,1406.05,1394.83,1402.98
998405,2016/11/16,1416.82,1422.63,1414.84,1421.65
998405,2016/11/17,1413.59,1423.08,1412.71,1423.08
998405,2016/11/18,1435.31,1435.9,1428.31,1428.46
998405,2016/11/21,1435.49,1444.18,1433.06,1442.93
998405,2016/11/22,1441.76,1448.45,1439.79,1447.5
998405,2016/11/24,1461.66,1463.47,1458.13,1459.96
998405,2016/11/25,1463.92,1472.63,1456.34,1464.53
998405,2016/11/28,1457.89,1471.19,1456.76,1469.58
998405,2016/11/29,1462.38,1469.59,1462.24,1468.57
998405,2016/11/30,1471.81,1473.02,1466.07,1469.43
998405,2016/12/01,1486.08,1498.74,1478.75,1483.27
998405,2016/12/02,1480.24,1484.52,1471.34,1477.98
998405,2016/12/05,1470.42,1472.34,1462.07,1466.96
998405,2016/12/06,1481.35,1483.43,1472.75,1477.2
998405,2016/12/07,1484.16,1490.76,1481.18,1490.62
998405,2016/12/08,1505.34,1512.69,1500.25,1512.69
998405,2016/12/09,1512.98,1526.97,1510.98,1525.36
998405,2016/12/12,1537.9,1542.99,1520.23,1531.43
998405,2016/12/13,1525.87,1540.25,1523.0,1540.25
998405,2016/12/14,1541.28,1542.29,1535.85,1538.69
998405,2016/12/15,1543.37,1553.59,1536.91,1542.72
998405,2016/12/16,1553.46,1555.04,1546.74,1550.67
998405,2016/12/19,1546.09,1549.68,1542.58,1549.06
998405,2016/12/20,1546.47,1553.26,1544.24,1552.36
998405,2016/12/21,1555.31,1558.75,1541.6,1544.94
998405,2016/12/22,1542.31,1543.82,1535.82,1543.82
998405,2016/12/26,1540.98,1541.96,1537.76,1538.14
998405,2016/12/27,1534.37,1544.83,1534.04,1536.22
998405,2016/12/28,1536.47,1540.51,1533.29,1536.8
998405,2016/12/29,1529.33,1529.33,1513.25,1518.39
998405,2016/12/30,1509.56,1521.79,1508.01,1518.61
998405,2017/01/04,1533.04,1554.79,1532.56,1554.48
998405,2017/01/05,1558.06,1558.45,1550.64,1555.68
998405,2017/01/06,1541.66,1554.78,1541.36,1553.32
998405,2017/01/10,1550.67,1557.67,1540.09,1542.31
998405,2017/01/11,1548.18,1552.28,1545.55,1550.4
998405,2017/01/12,1544.63,1546.26,1528.5,1535.41
998405,2017/01/13,1534.18,1545.64,1533.2,1544.89
998405,2017/01/16,1540.64,1543.72,1527.37,1530.64
998405,2017/01/17,1525.87,1525.87,1509.01,1509.1
998405,2017/01/18,1503.14,1516.39,1495.03,1513.86
998405,2017/01/19,1528.84,1533.98,1521.01,1528.15
998405,2017/01/20,1527.4,1537.59,1525.52,1533.46
998405,2017/01/23,1519.27,1523.36,1512.68,1514.63
998405,2017/01/24,1508.38,1513.99,1504.31,1506.33
998405,2017/01/25,1526.59,1528.93,1516.9,1521.58
998405,2017/01/26,1536.6,1546.08,1535.25,1545.01
998405,2017/01/27,1551.58,1553.28,1545.45,1549.25
998405,2017/01/30,1542.62,1543.99,1535.97,1543.77
998405,2017/01/31,1526.06,1533.04,1520.95,1521.67
998405,2017/02/01,1511.26,1528.59,1508.21,1527.77
998405,2017/02/02,1530.08,1530.72,1507.08,1510.41
998405,2017/02/03,1515.83,1523.61,1509.47,1514.99
998405,2017/02/06,1528.89,1530.16,1515.34,1520.42
998405,2017/02/07,1510.48,1521.23,1509.2,1516.15
998405,2017/02/08,1518.93,1524.38,1514.46,1524.15
998405,2017/02/09,1518.19,1520.48,1511.21,1513.55
998405,2017/02/10,1535.75,1547.59,1533.46,1546.56
998405,2017/02/13,1558.72,1558.72,1551.02,1554.2
998405,2017/02/14,1559.22,1559.22,1538.63,1539.12
998405,2017/02/15,1554.05,1557.96,1552.87,1553.69
998405,2017/02/16,1554.17,1555.78,1542.75,1551.07
998405,2017/02/17,1542.84,1546.78,1537.73,1544.54
998405,2017/02/20,1540.04,1548.03,1535.92,1547.01
998405,2017/02/21,1547.87,1555.98,1547.14,1555.6
998405,2017/02/22,1559.44,1559.51,1553.17,1557.09
998405,2017/02/23,1556.68,1556.71,1547.24,1556.25
998405,2017/02/24,1547.08,1558.41,1545.63,1550.14
998405,2017/02/27,1537.75,1539.7,1525.16,1534.0
998405,2017/02/28,1542.39,1549.44,1535.13,1535.32
998405,2017/03/01,1543.11,1554.18,1536.09,1553.09
998405,2017/03/02,1572.32,1575.21,1564.4,1564.69
998405,2017/03/03,1562.5,1565.34,1552.1,1558.05
998405,2017/03/06,1554.2,1557.43,1550.17,1554.9
998405,2017/03/07,1553.23,1556.87,1552.7,1555.04
998405,2017/03/08,1552.94,1554.1,1544.89,1550.25
998405,2017/03/09,1556.99,1556.99,1550.44,1554.68
998405,2017/03/10,1567.07,1574.87,1565.27,1574.01
998405,2017/03/13,1570.33,1578.51,1569.34,1577.4
998405,2017/03/14,1577.15,1577.15,1573.89,1574.9
998405,2017/03/15,1568.37,1572.21,1565.75,1571.31
998405,2017/03/16,1561.65,1574.24,1560.82,1572.69
998405,2017/03/17,1565.42,1567.61,1563.2,1565.85
