date,open,high,low,close,volume,adj.close,sma 5,sma 25,sma 50,stddev,-3s,-2s,+2s,+3s,RCI,RCI
2017/3/29,545,551,545,550,6700,550,549,570.3,571.5,16.2,521.8,538,602.6,618.8,427.5,-72.5
2017/3/30,550,550,534,539,14000,539,548.4,568.9,571.7,17.3,517,534.3,603.5,620.8,419.5,-80.5
2017/3/31,540,550,537,539,16400,539,545.8,567.8,572,18.3,512.9,531.2,604.4,622.7,412.5,-87.5
2017/4/3,539,539,534,534,4800,534,542.4,565.8,572.1,19.2,508.3,527.5,604.1,623.3,409.1,-90.9
2017/4/4,534,537,522,522,11500,522,536.8,563.2,572,20.5,501.6,522.1,604.3,624.8,408.2,-91.8
2017/4/5,521,524,518,518,10400,518,530.4,560.6,571.3,22,494.6,516.6,604.6,626.6,405.8,-94.2
2017/4/6,518,521,508,513,13500,513,525.2,557.6,570,23.2,488.1,511.2,604,627.1,405.3,-94.7
2017/4/7,510,521,510,514,6600,514,520.2,554.8,569.1,24.1,482.4,506.6,603,627.2,403.8,-96.2
2017/4/10,513,523,513,513,4500,513,516,552,567.9,24.8,477.7,502.5,601.5,626.3,402.7,-97.3
2017/4/11,515,517,512,512,8000,512,514,549,566.3,24.9,474.3,499.2,598.8,623.7,402.4,-97.6
2017/4/12,513,513,502,507,22500,507,511.8,545.9,564.2,25,470.8,495.9,595.9,621,402.2,-97.8
2017/4/13,502,505,495,502,12300,502,509.6,542.6,562.4,25.1,467.2,492.4,592.8,618,402,-98
2017/4/14,502,503,495,503,9000,503,507.4,539.3,560.4,24.7,465.2,489.9,588.7,613.4,402,-98
2017/4/17,500,504,495,504,5700,504,505.6,535.8,558.6,23.3,465.9,489.2,582.4,605.7,402.2,-97.8
2017/4/18,507,515,505,510,5200,510,505.2,533.2,557,22.3,466.2,488.5,577.9,600.2,403,-97
2017/4/19,510,513,506,507,4100,507,505.2,530.5,555.4,21.2,467,488.2,572.8,594,403.7,-96.3
2017/4/20,510,511,503,511,2100,511,507,528.4,553.9,20.2,467.7,487.9,568.9,589.1,405.3,-94.7
2017/4/21,511,517,505,508,16000,508,508,526.2,552.7,19.3,468.4,487.7,564.7,584,407.2,-92.8
2017/4/24,515,515,506,507,3500,507,508.6,524.3,551.5,18.7,468.1,486.8,561.8,580.5,408.5,-91.5
2017/4/25,506,512,506,510,3600,510,508.6,522.5,550.3,17.9,468.9,486.8,558.2,576.1,411.4,-88.6
2017/4/26,511,520,510,515,12800,515,510.2,521.3,549,17.3,469.4,486.7,555.9,573.2,418.4,-81.6
2017/4/27,515,518,513,518,10300,518,511.6,520.4,547.7,16.8,470.1,486.9,553.9,570.7,426.8,-73.2
2017/4/28,518,520,516,520,4200,520,514,519.1,546.5,15.4,472.9,488.3,549.9,565.3,438.6,-61.4
2017/5/1,529,529,520,522,12200,522,517,517.9,545.4,13.9,476.1,490.1,545.7,559.7,451.8,-48.2
2017/5/2,523,524,518,524,12300,524,519.8,516.9,544.2,12.3,480,492.3,541.5,553.8,467.9,-32.1
2017/5/8,524,529,523,527,12100,527,522.2,516,543.1,10.4,484.7,495.1,536.9,547.3,485.7,-14.3
2017/5/15,526,530,525,528,7200,528,524.2,515.5,542.2,9.6,486.6,496.2,534.8,544.4,505.2,5.2
2017/5/16,598,609,577,587,282900,587,537.6,517.4,542.6,16.7,467.3,484,550.8,567.5,528.2,28.2
2017/5/17,586,589,571,572,53500,572,547.6,519,542.4,19.7,459.8,479.6,558.4,578.2,549.4,49.4
2017/5/18,570,577,556,577,25500,577,558.2,521.2,542.2,22.9,452.5,475.4,567,589.9,563.8,63.8
2017/5/19,576,593,576,583,12700,583,569.4,523.8,542.2,26,445.8,471.8,575.8,601.8,574.1,74.1
