6166.T,,,,,,,,,,,,,,,,,
['../yfseries/6166.T-20170101-20171229.csv', '../yfseries/6166.T-20180101-20181229.csv'],,,,,,,,,,,,,-2,-1,1,2
日付,始値,高値,安値,終値,出来高,修正後終値,m.avr.5,m.avr.21,m.avr.55,m.vwavr.5,m.vwavr.21,m.vwavr.55,vw.stddev. 21,-2σ,-1σ,+1σ,+2σ
2017/4/26,1472,1535,1444,1503,170800,1503,1380.6,1341,1407.3,1440.2,1372.4,1503.2,105.1,1162.2,1267.3,1477.5,1582.6
2017/4/27,1518,1530,1443,1472,76200,1472,1421.8,1335.9,1412.2,1449.5,1369.6,1504.2,100,1169.6,1269.6,1469.6,1569.6
2017/4/28,1490,1490,1418,1430,66600,1430,1453.4,1332.8,1416.3,1452.8,1366.1,1504.2,97.6,1170.9,1268.5,1463.7,1561.3
2017/5/1,1435,1445,1355,1431,79800,1431,1461.6,1330.3,1420.2,1470.9,1362.3,1504.4,95.4,1171.5,1266.9,1457.7,1553.1
2017/5/2,1407,1439,1407,1439,25100,1439,1455,1332.4,1424.7,1468.2,1361.3,1506,97.7,1165.9,1263.6,1459,1556.7
2017/5/8,1454,1454,1410,1410,48100,1410,1436.4,1336.6,1428.9,1438.6,1365.8,1506.9,100,1165.8,1265.8,1465.8,1565.8
2017/5/15,1490,1615,1415,1593,160700,1593,1460.6,1347.2,1436.1,1497.2,1384.6,1509.4,116.3,1152,1268.3,1500.9,1617.2
2017/5/16,1615,1643,1522,1530,105600,1530,1480.6,1360,1441.7,1516.1,1400.5,1511.3,116.5,1167.5,1284,1517,1633.5
2017/5/17,1522,1530,1460,1461,142900,1461,1486.6,1367.2,1448.9,1513.8,1408.6,1528.7,114.1,1180.4,1294.5,1522.7,1636.8
2017/5/18,1431,1527,1430,1523,89700,1523,1503.4,1376.7,1456.9,1518.8,1416.4,1532.1,114.6,1187.2,1301.8,1531,1645.6
2017/5/19,1550,1557,1531,1546,64800,1546,1530.6,1389.2,1465.3,1531.2,1424,1533.9,114.4,1195.2,1309.6,1538.4,1652.8
2017/5/22,1576,1928,1572,1928,1168100,1928,1597.6,1424,1479.3,1819.9,1625.9,1581.9,250.9,1124.1,1375,1876.8,2127.7
2017/5/23,1968,2260,1967,2173,3353000,2173,1726.2,1469.1,1495.6,2072,1919.6,1734.1,317.3,1285,1602.3,2236.9,2554.2
2017/5/24,2160,2173,2001,2128,1016900,2128,1859.6,1513.3,1510.3,2097.3,1952.6,1768.9,298.9,1354.8,1653.7,2251.5,2550.4
2017/5/25,2189,2365,2174,2250,1460200,2250,2005,1561.6,1527.1,2136.2,2005.8,1821.7,290.3,1425.2,1715.5,2296.1,2586.4
2017/5/26,2205,2226,2126,2126,406300,2126,2121,1601,1539.2,2140.8,2016.8,1836.8,278.7,1459.4,1738.1,2295.5,2574.2
2017/5/29,2180,2195,2060,2090,461600,2090,2153.4,1639.7,1547.5,2174.4,2025.4,1860.7,266.4,1492.6,1759,2291.8,2558.2
2017/5/30,2131,2138,2023,2035,215100,2035,2125.8,1676.3,1555.4,2167.3,2027.8,1875,260.6,1506.6,1767.2,2288.4,2549
2017/5/31,2059,2059,1992,2002,205100,2002,2100.6,1711,1563.2,2169.5,2029,1880.8,255.6,1517.8,1773.4,2284.6,2540.2
2017/6/1,1985,2054,1917,1953,759000,1953,2041.2,1737.9,1568.9,2031.8,2037.3,1889.9,231.2,1574.9,1806.1,2268.5,2499.7
2017/6/2,2030,2037,1924,1960,426500,1960,2008,1761.1,1573.6,1998.4,2049.9,1895.6,209.7,1630.5,1840.2,2259.6,2469.3
2017/6/5,1980,2054,1937,2011,249200,2011,1992.2,1785.3,1577.5,1977.3,2057.8,1901,197,1663.8,1860.8,2254.8,2451.8
2017/6/6,1971,1991,1861,1879,338900,1879,1961,1804.7,1581.5,1954.2,2056.3,1904.9,190.9,1674.5,1865.4,2247.2,2438.1
2017/6/7,1925,2070,1887,2050,333800,2050,1970.6,1834.2,1588.1,1964.7,2059.9,1911,182.2,1695.5,1877.7,2242.1,2424.3
2017/6/8,2049,2114,2006,2025,320900,2025,1985,1862.5,1595.3,1981.7,2063.3,1915.3,172.4,1718.5,1890.9,2235.7,2408.1
2017/6/9,2051,2074,1980,1987,164500,1987,1990.4,1888.6,1602.7,1988.8,2063.6,1919.3,169.1,1725.4,1894.5,2232.7,2401.8
2017/6/14,2060,2089,1965,1986,160300,1986,1985.4,1916,1611.3,1984.3,2065.2,1923,163.2,1738.8,1902,2228.4,2391.6
2017/6/15,1987,2052,1952,1995,163900,1995,2008.6,1935.1,1618.7,2017.1,2070.8,1927.1,153.6,1763.6,1917.2,2224.4,2378
2017/6/16,2072,2222,2065,2138,816900,2138,2026.2,1964.1,1625.8,2071,2079.9,1943.1,141.2,1797.5,1938.7,2221.1,2362.3
2017/6/19,2250,2293,2192,2230,501900,2230,2067.2,2000.7,1635.4,2123.4,2092.8,1955.9,125.6,1841.6,1967.2,2218.4,2344
2017/6/20,2249,2265,2162,2193,224700,2193,2108.4,2032.6,1646.2,2143.7,2098.5,1962.6,116.1,1866.3,1982.4,2214.6,2330.7
2017/6/21,2200,2245,2175,2181,135100,2181,2147.4,2062.9,1655.7,2160.2,2102.2,1967.4,109.2,1883.8,1993,2211.4,2320.6
2017/6/22,2167,2218,2120,2132,141800,2132,2174.8,2072.6,1665.3,2172.9,2119.7,1971,98.3,1923.1,2021.4,2218,2316.3
2017/6/23,2129,2280,2071,2226,352400,2226,2192.4,2075.1,1676.6,2207.7,2103.8,1977.7,109.9,1884,1993.9,2213.7,2323.6
2017/6/26,2276,2512,2261,2512,855800,2512,2248.8,2093.4,1694.3,2353.5,2141.1,2007,165,1811.1,1976.1,2306.1,2471.1
2017/6/27,2549,2765,2500,2553,1175000,2553,2320.8,2107.8,1712,2455.2,2179.8,2043.6,219.8,1740.2,1960,2399.6,2619.4
2017/6/28,2540,2639,2410,2534,441400,2534,2391.4,2127.2,1730.9,2479.4,2200.9,2057.9,232.6,1735.7,1968.3,2433.5,2666.1
2017/6/29,2584,2688,2452,2688,535100,2688,2502.6,2155.7,1752.8,2527.3,2237.5,2079,257.9,1721.7,1979.6,2495.4,2753.3
2017/6/30,2646,2878,2608,2878,748100,2878,2633,2195.9,1779.8,2625.4,2295.2,2113.5,303.7,1687.8,1991.5,2598.9,2902.6
2017/7/3,2880,3160,2856,3105,842700,3105,2751.6,2248.4,1812.2,2759.3,2371.9,2160.4,368.1,1635.7,2003.8,2740,3108.1
2017/7/4,3100,3145,2850,2892,795900,2892,2819.4,2293.1,1839.9,2862.8,2447.1,2190.8,371.2,1704.7,2075.9,2818.3,3189.5
2017/7/5,2900,2944,2728,2805,475000,2805,2873.6,2333.3,1867.9,2897.5,2485.8,2209.6,362.6,1760.6,2123.2,2848.4,3211
2017/7/6,2810,2820,2659,2694,398600,2694,2874.8,2365.9,1893.1,2907,2506.1,2221.8,353.7,1798.7,2152.4,2859.8,3213.5
2017/7/7,2694,2710,2603,2603,289900,2603,2819.8,2400.3,1916.3,2883.2,2530.4,2229.4,334.6,1861.2,2195.8,2865,3199.6
2017/7/10,2630,2807,2630,2797,422000,2797,2758.2,2435.9,1943.9,2789.5,2557.8,2242.3,324.8,1908.2,2233,2882.6,3207.4
2017/7/11,2847,2927,2830,2836,392100,2836,2747,2474.5,1973.7,2757.5,2585.7,2258.2,312.9,1959.9,2272.8,2898.6,3211.5
2017/7/13,2834,2835,2655,2690,178900,2690,2724,2508,2000.3,2736.8,2597.4,2264.7,303.2,1991,2294.2,2900.6,3203.8
2017/7/14,2700,2754,2648,2750,176600,2750,2735.2,2544.4,2028.5,2750.1,2609.8,2270.3,293.4,2023,2316.4,2903.2,3196.6
2017/7/18,2740,2740,2636,2646,166700,2646,2743.8,2575.4,2054.1,2769.1,2620.4,2275,282.5,2055.4,2337.9,2902.9,3185.4
2017/7/19,2627,2688,2626,2650,82600,2650,2714.4,2599.8,2078.7,2747.4,2662.9,2279.4,252.8,2157.3,2410.1,2915.7,3168.5
2017/7/20,2658,2797,2656,2787,229300,2787,2704.6,2626.3,2106.1,2716.6,2690,2287.2,234.8,2220.4,2455.2,2924.8,3159.6
2017/7/21,2806,2860,2724,2787,250000,2787,2724,2654.6,2133.8,2741.3,2705,2293.7,221.1,2262.8,2483.9,2926.1,3147.2
2017/7/24,2820,2820,2730,2754,81800,2754,2724.8,2681.9,2160.7,2740.7,2713.3,2296.3,212.2,2288.9,2501.1,2925.5,3137.7
2017/7/25,2748,2830,2741,2765,125000,2765,2748.6,2712,2185.7,2765.2,2723.1,2307.5,199.3,2324.5,2523.8,2922.4,3121.7
2017/7/26,2800,2913,2772,2885,357600,2885,2795.6,2743.4,2211.4,2815.4,2749,2326.8,174.4,2400.2,2574.6,2923.4,3097.8
2017/7/27,2890,2920,2807,2817,166800,2817,2801.6,2757.9,2235.3,2822.3,2774.7,2336.3,163.1,2448.5,2611.6,2937.8,3100.9
2017/7/28,2790,2814,2632,2658,273800,2658,2775.8,2762.9,2256.9,2786.3,2805.5,2342.8,147,2511.5,2658.5,2952.5,3099.5
2017/7/31,2600,2631,2489,2591,281300,2591,2743.2,2765.6,2278,2742.9,2813.6,2348.3,139.1,2535.4,2674.5,2952.7,3091.8
2017/8/1,2610,2613,2380,2398,221800,2398,2669.8,2751.8,2295.5,2682,2810.1,2351.8,156.5,2497.1,2653.6,2966.6,3123.1
2017/8/2,2534,2588,2430,2448,205000,2448,2582.4,2731.3,2313.9,2577,2790.6,2353.6,172.7,2445.2,2617.9,2963.3,3136
2017/8/3,2448,2482,2381,2402,85200,2402,2499.4,2697.9,2331.9,2525.5,2737.8,2355.6,136.3,2465.2,2601.5,2874.1,3010.4
2017/8/4,2380,2435,2362,2427,65700,2427,2453.2,2675.7,2347.1,2475.7,2708.8,2360.9,134,2440.8,2574.8,2842.8,2976.8
2017/8/7,2420,2487,2405,2451,64000,2451,2425.2,2658.9,2363.8,2422.8,2695,2364.8,139.2,2416.6,2555.8,2834.2,2973.4
2017/8/8,2480,2560,2460,2560,120600,2560,2457.6,2652.5,2383.8,2463.5,2691.3,2371.1,145.4,2400.5,2545.9,2836.7,2982.1
2017/8/9,2600,2600,2442,2540,114800,2540,2476,2649.5,2402.3,2490.1,2693.3,2375.1,148.8,2395.7,2544.5,2842.1,2990.9
2017/8/10,2524,2560,2451,2536,111600,2536,2502.8,2637,2420.3,2516.6,2676.9,2378.1,152.4,2372.1,2524.5,2829.3,2981.7
2017/8/17,3230,3425,3120,3385,635500,3385,2694.4,2663.2,2446.8,3049.6,2774,2427.5,299.5,2175,2474.5,3073.5,3373
2017/8/18,3325,3890,3300,3790,1665200,3790,2962.2,2715.6,2476.2,3529.7,3085.4,2570.2,530.8,2023.8,2554.6,3616.2,4147
2017/8/21,3720,3900,3630,3655,700500,3655,3181.2,2758.7,2504,3593.1,3161.7,2626.2,534.7,2092.3,2627,3696.4,4231.1
2017/8/22,3560,3860,3520,3675,546200,3675,3408.2,2807.7,2529.9,3638.4,3219.1,2680.6,530.3,2158.5,2688.8,3749.4,4279.7
2017/8/23,3735,4000,3675,4000,712200,4000,3701,2872,2563.9,3727.7,3305.1,2736.2,553.8,2197.5,2751.3,3858.9,4412.7
2017/8/24,4040,4060,3855,3870,542300,3870,3798,2923.5,2596.3,3798.5,3363.1,2779.5,552.7,2257.7,2810.4,3915.8,4468.5
2017/8/25,4070,4140,3820,3830,560700,3830,3806,2973.2,2628.9,3808.9,3416.3,2814.6,543.4,2329.5,2872.9,3959.7,4503.1
2017/8/28,3815,3930,3640,3910,380000,3910,3857,3028.2,2663.6,3862.3,3446.7,2841.6,538.9,2368.9,2907.8,3985.6,4524.5
2017/8/29,3855,4045,3815,4010,337300,4010,3924,3087.5,2701,3922.4,3480.5,2892.1,536.4,2407.7,2944.1,4016.9,4553.3
2017/8/30,4080,4190,3990,4005,330000,4005,3925,3140.9,2738.2,3909.3,3528,2928.5,531.1,2465.8,2996.9,4059.1,4590.2
2017/8/31,3935,4120,3915,3980,248000,3980,3947,3196.2,2774,3930.2,3556.2,2951.7,523.8,2508.6,3032.4,4080,4603.8
2017/9/1,3955,4280,3950,4270,587400,4270,4035,3273,2817.5,4066.1,3634.3,3005.2,517.1,2600.1,3117.2,4151.4,4668.5
2017/9/4,4270,4300,4075,4185,389500,4185,4090,3348.9,2856.3,4121.9,3693.2,3041.6,488.6,2716,3204.6,4181.8,4670.4
