code,date,open,high,low,close,volume,adj_close
5301,2016/08/18,248,250,242,243,955000,243
5301,2016/08/19,246,254,246,254,1058000,254
5301,2016/08/22,254,258,252,256,788000,256
5301,2016/08/23,256,257,248,249,1250000,249
5301,2016/08/24,247,253,247,250,865000,250
5301,2016/08/25,251,257,251,256,1627000,256
5301,2016/08/26,258,258,254,255,1366000,255
5301,2016/08/29,259,267,259,266,1240000,266
5301,2016/08/30,263,270,263,269,912000,269
5301,2016/08/31,274,282,271,273,1572000,273
5301,2016/09/01,271,276,270,273,946000,273
5301,2016/09/02,277,277,271,274,1321000,274
5301,2016/09/05,275,284,274,281,956000,281
5301,2016/09/06,281,288,281,282,1276000,282
5301,2016/09/07,280,288,278,287,1074000,287
5301,2016/09/08,287,290,283,285,891000,285
5301,2016/09/09,290,291,286,291,1546000,291
5301,2016/09/12,283,291,281,286,1155000,286
5301,2016/09/13,289,289,283,286,906000,286
5301,2016/09/14,285,290,284,286,710000,286
5301,2016/09/15,285,287,279,281,999000,281
5301,2016/09/16,282,282,276,278,1185000,278
5301,2016/09/20,274,283,274,278,1308000,278
5301,2016/09/21,279,284,272,283,1368000,283
5301,2016/09/23,283,283,274,275,1168000,275
5301,2016/09/26,275,275,270,271,800000,271
5301,2016/09/27,269,276,267,276,997000,276
5301,2016/09/28,272,276,271,275,471000,275
5301,2016/09/29,274,281,272,277,1323000,277
5301,2016/09/30,273,273,268,273,934000,273
5301,2016/10/03,278,278,271,273,961000,273
5301,2016/10/04,274,276,272,275,701000,275
5301,2016/10/05,277,278,273,276,784000,276
5301,2016/10/06,281,284,280,281,847000,281
5301,2016/10/07,282,292,282,290,1832000,290
5301,2016/10/11,297,303,296,300,1558000,300
5301,2016/10/12,297,302,297,298,1011000,298
5301,2016/10/13,298,300,294,296,1167000,296
5301,2016/10/14,295,304,295,303,1714000,303
5301,2016/10/17,309,310,305,308,1110000,308
5301,2016/10/18,308,308,304,307,546000,307
5301,2016/10/19,306,310,301,303,1251000,303
5301,2016/10/20,301,309,301,308,1398000,308
5301,2016/10/21,309,310,305,306,1208000,306
5301,2016/10/24,305,308,302,303,1119000,303
5301,2016/10/25,308,311,307,310,1084000,310
5301,2016/10/26,311,316,309,315,1061000,315
5301,2016/10/27,315,318,313,317,895000,317
5301,2016/10/28,320,326,318,326,1739000,326
5301,2016/10/31,319,323,316,320,1183000,320
5301,2016/11/01,320,322,314,322,783000,322
5301,2016/11/02,317,318,311,313,786000,313
5301,2016/11/04,325,353,321,353,4102000,353
5301,2016/11/07,353,365,351,362,2531000,362
5301,2016/11/08,363,364,356,359,1607000,359
5301,2016/11/09,357,361,331,333,2893000,333
5301,2016/11/10,354,360,350,358,1872000,358
5301,2016/11/11,364,368,360,363,2046000,363
5301,2016/11/14,362,374,362,372,1422000,372
5301,2016/11/15,370,372,366,371,1110000,371
5301,2016/11/16,374,374,372,374,1195000,374
5301,2016/11/17,372,372,367,369,805000,369
